date,mean
2025-10-28,1.38
2025-10-29,1.77
2025-10-30,1.67
2025-10-31,1.75
2025-11-01,1.38
2025-11-02,2.45
2025-11-03,2.2
2025-11-04,2.32
2025-11-05,2.33
2025-11-06,1.8
2025-11-07,1.8
2025-11-08,1.85
2025-11-09,1.65
2025-11-10,1.17
2025-11-11,1.37
2025-11-12,1.54
2025-11-13,1.54
2025-11-14,1.49
2025-11-15,1.12
2025-11-16,1.12
2025-11-17,1.73
2025-11-18,1.66
2025-11-19,1.34
2025-11-20,1.53
2025-11-21,1.94
2025-11-22,2.34
2025-11-23,1.79
2025-11-24,1.04
2025-11-25,1.86
2025-11-26,1.8
2025-11-27,1.92
2025-11-28,1.47
2025-11-29,0.93
2025-11-30,1.63
