date,mean
2025-10-28,1.47
2025-10-29,2.23
2025-10-30,2.03
2025-10-31,2.28
2025-11-01,1.63
2025-11-02,2.94
2025-11-03,2.42
2025-11-04,2.13
2025-11-05,3.1
2025-11-06,2.2
2025-11-07,2.2
2025-11-08,2.53
2025-11-09,2.18
2025-11-10,2.14
2025-11-11,1.85
2025-11-12,2
2025-11-13,2
2025-11-14,1.47
2025-11-15,1.17
2025-11-16,1.17
2025-11-17,2.08
2025-11-18,2.16
2025-11-19,1.94
2025-11-20,2.15
2025-11-21,2.58
2025-11-22,2.57
2025-11-23,2.07
2025-11-24,1.41
2025-11-25,2.38
2025-11-26,2.06
2025-11-27,2.2
2025-11-28,2.04
2025-11-29,1.32
2025-11-30,1.7
2025-12-01,1.55
2025-12-02,1.55
2025-12-03,1.89
2025-12-04,1.31
2025-12-05,1.23
2025-12-06,1.06
2025-12-07,1.17
2025-12-08,1.3
2025-12-09,0.96
2025-12-10,0.83
2025-12-11,0.92
2025-12-12,0.72
2025-12-13,1.66
2025-12-14,1.72
2025-12-15,0.88
2025-12-16,1.59
2025-12-17,1.42
2025-12-18,0.94
2025-12-19,0.98
2025-12-20,1.33
2025-12-21,0.97
2025-12-22,1.19
2025-12-23,1.02
2025-12-24,1.21
2025-12-25,1.29
2025-12-26,1.29
2025-12-27,0.8
2025-12-28,0.87
2025-12-29,1.09
2025-12-30,0.91
2025-12-31,0.97
2026-01-01,0.9
2026-01-02,1.61
2026-01-03,1.15
2026-01-04,1.53
2026-01-05,1.92
2026-01-06,2.13
2026-01-07,0.8
2026-01-08,1
2026-01-09,1.2
2026-01-10,1.19
2026-01-11,1.16
2026-01-12,1.14
2026-01-13,1.52
2026-01-14,1.38
2026-01-15,0.99
2026-01-16,0.94
2026-01-17,1.15
2026-01-18,1.51
2026-01-19,1.72
2026-01-20,1.43
2026-01-21,1.07
2026-01-22,1.38
2026-01-23,1.65
