date,mean
2025-10-28,1.61
2025-10-29,2.16
2025-10-30,1.89
2025-10-31,2.27
2025-11-01,1.75
2025-11-02,2.62
2025-11-03,2.25
2025-11-04,2.19
2025-11-05,2.84
2025-11-06,2.15
2025-11-07,2.15
2025-11-08,2.38
2025-11-09,1.89
2025-11-10,1.78
2025-11-11,1.85
2025-11-12,2.05
2025-11-13,2.05
2025-11-14,1.56
2025-11-15,1.16
2025-11-16,1.16
2025-11-17,2
2025-11-18,1.91
2025-11-19,1.75
2025-11-20,2
2025-11-21,2.33
2025-11-22,2.49
2025-11-23,1.8
2025-11-24,1.34
2025-11-25,2.3
2025-11-26,1.89
2025-11-27,2.03
2025-11-28,1.76
2025-11-29,1.21
2025-11-30,1.74
2025-12-01,1.47
2025-12-02,1.47
2025-12-03,1.73
2025-12-04,1.31
2025-12-05,1.07
2025-12-06,0.99
2025-12-07,1.11
2025-12-08,1.28
2025-12-09,1.1
2025-12-10,0.96
2025-12-11,0.95
2025-12-12,0.72
2025-12-13,1.88
2025-12-14,1.69
2025-12-15,0.89
2025-12-16,1.6
2025-12-17,1.42
2025-12-18,1.02
2025-12-19,1.05
2025-12-20,1.23
2025-12-21,1.09
2025-12-22,1.19
2025-12-23,1.1
2025-12-24,1.14
2025-12-25,1.23
2025-12-26,1.2
2025-12-27,0.9
2025-12-28,1.03
2025-12-29,1.01
2025-12-30,0.86
2025-12-31,1.09
2026-01-01,0.99
2026-01-02,1.73
2026-01-03,1.04
2026-01-04,1.59
2026-01-05,1.86
2026-01-06,1.95
2026-01-07,0.87
2026-01-08,0.92
2026-01-09,1.22
2026-01-10,1.14
2026-01-11,1.02
2026-01-12,1.15
2026-01-13,1.38
2026-01-14,1.22
2026-01-15,1.04
2026-01-16,0.91
2026-01-17,1.2
2026-01-18,1.51
2026-01-19,1.83
2026-01-20,1.35
2026-01-21,1.04
2026-01-22,1.4
2026-01-23,1.74
2026-01-24,1.6
2026-01-25,1.46
2026-01-26,1.28
2026-01-27,1.95
2026-01-28,1.47
2026-01-29,0.71
2026-01-30,1.12
2026-01-31,1.66
2026-02-01,0.89
2026-02-02,2
2026-02-03,1.43
2026-02-04,0.78
2026-02-05,1.85
2026-02-06,1.85
2026-02-07,1.46
2026-02-08,1.5
2026-02-09,0.63
2026-02-10,0.72
2026-02-11,0.9
2026-02-12,1.71
