date,minimum,maximum,range,mean,std
2025-04-23,4.525129,4.64788,0.12275,4.584559,0.029901
2025-04-24,4.97265,5.060619,0.087971,5.00989,0.022217
2025-04-25,3.366519,3.546829,0.180307,3.43892,0.045202
2025-04-26,4.78372,4.876339,0.092624,4.82271,0.023116
2025-04-27,5.02987,5.04086,0.01099,5.033629,0.002409
2025-04-28,5.221879,5.309879,0.087998,5.264019,0.023496
2025-04-29,3.844039,3.93576,0.091722,3.88749,0.024609
2025-04-30,1.60264,1.76984,0.167198,1.69506,0.041652
2025-05-01,3.774699,3.95212,0.177423,3.86994,0.043449
2025-05-02,2.433,2.65469,0.221689,2.55484,0.054887
2025-05-05,3.12484,3.172009,0.047168,3.140899,0.00993
2025-05-07,3.9412,3.98649,0.045287,3.967619,0.011198
2025-05-10,3.688549,3.84361,0.155062,3.769059,0.038542
2025-05-14,4.285299,4.363309,0.078012,4.324649,0.016371
2025-05-15,4.76727,4.87329,0.10602,4.81923,0.02581
2025-05-16,5.016049,5.058,0.041958,5.03314,0.008777
2025-05-17,5.183579,5.20412,0.020533,5.194379,0.005337
2025-05-18,3.41084,3.49671,0.085874,3.449209,0.023097
2025-05-19,3.85787,3.965909,0.108043,3.91669,0.027734
2025-05-20,5.010839,5.1434,0.132558,5.075109,0.032424
2025-05-21,5.165339,5.26028,0.094943,5.202509,0.023903
2025-05-22,5.37332,5.536049,0.162728,5.451049,0.040345
2025-05-23,5.98214,6.0619,0.07976,6.015679,0.019853
2025-05-24,6.0151,6.071979,0.056878,6.050849,0.014357
2025-05-25,5.65485,5.725699,0.070849,5.688109,0.014618
2025-05-26,5.44031,5.523509,0.083195,5.46735,0.02031
2025-05-27,5.970369,6.112649,0.14228,6.02404,0.036544
2025-05-28,6.24692,6.425499,0.178584,6.317749,0.045894
2025-05-29,6.674409,6.80866,0.134244,6.725629,0.034398
2025-05-30,6.122799,6.220799,0.098003,6.164239,0.024072
2025-05-31,6.352459,6.41374,0.061279,6.38943,0.014614
2025-06-01,4.84271,4.920229,0.077518,4.88009,0.017696
2025-06-02,5.18336,5.22694,0.043579,5.201089,0.00841
2025-06-03,4.22065,4.267419,0.046769,4.250279,0.009431
2025-07-06,6.847909,6.90634,0.058421,6.868569,0.012314
2025-07-07,6.588739,6.69469,0.105957,6.623819,0.027201
2025-07-08,7.1374,7.400959,0.263565,7.25115,0.065042
2025-07-09,6.392549,6.42001,0.027466,6.40044,0.006004
2025-07-10,5.234759,5.391729,0.156966,5.295499,0.038825
2025-07-11,2.89978,3.033459,0.133681,2.97719,0.032922
2025-07-12,4.852739,5.0369,0.184158,4.92458,0.047103
2025-07-13,5.856239,5.94604,0.089794,5.88568,0.022843
2025-07-14,6.53629,6.670909,0.134616,6.584459,0.034413
2025-07-15,7.023349,7.24593,0.22258,7.11705,0.056942
2025-07-16,7.05108,7.1247,0.073618,7.080009,0.014874
2025-07-18,5.869919,5.923799,0.053882,5.89162,0.011249
2025-07-19,5.74066,5.782559,0.041902,5.755469,0.008714
2025-07-20,5.13951,5.20546,0.065956,5.16547,0.016845
2025-07-21,6.182509,6.312699,0.130186,6.236599,0.032475
2025-07-22,6.48353,6.613409,0.129884,6.527029,0.032958
2025-07-23,5.765339,5.838719,0.073371,5.803349,0.01535
2025-07-25,7.3975,7.50812,0.110615,7.440239,0.027358
2025-07-26,7.32809,7.46454,0.136453,7.384759,0.035013
2025-07-28,7.00614,7.164659,0.15851,7.065939,0.040519
2025-07-29,7.72695,8.05836,0.331411,7.867499,0.081618
