date,minimum,maximum,range,mean,std
2025-04-23,4.48049,4.662859,0.182371,4.58964,0.041672
2025-04-24,4.863019,5.16443,0.301414,5.010829,0.071916
2025-04-25,3.4497,3.69985,0.250144,3.59454,0.046558
2025-04-26,4.611209,4.74486,0.133652,4.664209,0.037431
2025-04-27,4.938539,5.14257,0.204031,5.03556,0.047846
2025-04-28,5.152619,5.302899,0.150279,5.208519,0.042694
2025-04-29,3.015239,3.213809,0.198565,3.106379,0.051661
2025-04-30,2.392149,2.90327,0.511111,2.70458,0.140195
2025-05-01,3.804069,3.929699,0.125622,3.87661,0.03858
2025-05-02,2.795909,2.94647,0.150563,2.88589,0.044069
2025-05-05,3.01027,3.2734,0.263134,3.13525,0.07617
2025-05-07,3.424259,3.62642,0.202162,3.514869,0.057656
2025-05-10,3.96161,4.11215,0.150539,4.02496,0.041514
2025-05-14,4.03374,4.133639,0.099896,4.07423,0.023764
2025-05-15,4.611299,4.704549,0.09325,4.655829,0.023911
2025-05-16,4.929979,5.283939,0.353964,5.09952,0.094902
2025-05-17,5.20614,5.447549,0.241417,5.320829,0.061239
2025-05-18,3.33922,3.560009,0.220788,3.40844,0.052451
2025-05-19,4.32411,4.65135,0.327248,4.476729,0.091846
2025-05-20,4.89237,5.01804,0.125678,4.928339,0.02713
2025-05-21,5.033989,5.201109,0.167116,5.11709,0.03548
2025-05-22,5.421679,5.678009,0.256334,5.554269,0.060525
2025-05-23,5.87677,6.096799,0.220034,5.98392,0.046331
2025-05-24,5.819069,6.31759,0.498517,6.06323,0.127943
2025-05-25,5.353199,5.485939,0.132741,5.42358,0.031348
2025-05-26,5.211299,5.415559,0.204258,5.3157,0.041705
2025-05-27,5.656449,5.929369,0.272922,5.78667,0.064894
2025-05-28,6.017149,6.434689,0.417544,6.20554,0.105231
2025-05-29,6.46988,7.125629,0.655749,6.769149,0.177135
2025-05-30,6.06578,6.766429,0.700643,6.407589,0.181966
2025-05-31,6.137509,6.641019,0.503503,6.35887,0.128013
2025-06-01,5.12184,5.42535,0.303512,5.293139,0.060084
2025-06-02,4.91681,5.06197,0.145156,4.98678,0.030935
2025-06-03,4.27475,4.41239,0.13764,4.342269,0.030388
2025-07-06,6.43936,6.76408,0.324723,6.591949,0.076463
2025-07-07,6.140309,6.386089,0.245782,6.26452,0.065095
2025-07-08,6.804639,7.45523,0.650591,7.05839,0.182148
2025-07-09,5.73351,5.953209,0.219708,5.80658,0.044276
2025-07-10,4.823639,5.017029,0.193388,4.880559,0.044153
2025-07-11,2.86026,2.932199,0.071932,2.88554,0.017601
2025-07-12,4.32037,4.433549,0.113187,4.38913,0.028773
2025-07-13,5.169829,5.46243,0.292607,5.27249,0.072839
2025-07-14,6.190599,6.44707,0.256464,6.31404,0.061418
2025-07-15,6.74272,7.337679,0.594958,7.007309,0.155854
2025-07-16,6.615029,7.100749,0.485715,6.827459,0.115691
2025-07-18,5.404319,5.62967,0.225345,5.492099,0.053759
2025-07-19,5.41268,5.649759,0.237082,5.48046,0.060869
2025-07-20,4.99483,5.379759,0.384932,5.164209,0.110761
2025-07-21,5.940859,6.192619,0.251758,6.05517,0.061678
2025-07-22,5.89122,6.19814,0.306928,6.00859,0.079798
2025-07-23,5.261819,5.81017,0.548353,5.53515,0.152189
2025-07-25,7.573599,8.01657,0.442965,7.77428,0.106962
2025-07-26,6.83368,7.545239,0.711556,7.13979,0.203623
2025-07-28,6.547359,6.94432,0.396961,6.70166,0.110215
2025-07-29,7.32701,7.73248,0.405469,7.481629,0.112443
