date,minimum,maximum,range,mean,std
2025-04-23,3.81414,3.932539,0.118404,3.874819,0.02977
2025-04-24,4.199759,4.32633,0.126576,4.28555,0.03701
2025-04-25,2.87641,3.38047,0.50406,3.19612,0.142383
2025-04-26,4.377289,4.68625,0.308959,4.51769,0.072511
2025-04-27,4.290009,4.40181,0.1118,4.325789,0.026159
2025-04-28,4.61388,4.686649,0.072768,4.655059,0.019372
2025-04-29,4.389289,4.545169,0.155873,4.470109,0.039987
2025-04-30,0.979452,1.02265,0.043201,0.999092,0.009085
2025-05-01,3.3106,3.385479,0.074884,3.33769,0.016047
2025-05-02,2.12589,2.293639,0.167758,2.201319,0.035956
2025-05-05,3.09155,3.344749,0.253194,3.216929,0.062265
2025-05-07,3.896389,3.94506,0.048673,3.909209,0.011166
2025-05-10,2.247989,2.43839,0.190402,2.335069,0.042676
2025-05-14,3.10433,3.239569,0.135244,3.18577,0.037269
2025-05-15,3.68013,3.77249,0.092361,3.725419,0.021132
2025-05-16,4.449049,4.509019,0.059973,4.476379,0.013229
2025-05-17,4.141119,4.185039,0.043917,4.16022,0.01003
2025-05-18,3.00371,3.338649,0.334935,3.1965,0.094
2025-05-19,2.494359,2.66158,0.167223,2.564729,0.036456
2025-05-20,4.04923,4.17396,0.124729,4.108129,0.027639
2025-05-21,4.449639,4.720099,0.27046,4.60435,0.071177
2025-05-22,4.275229,4.35866,0.083424,4.31185,0.017789
2025-05-23,4.95482,5.06742,0.112594,5.01062,0.030963
2025-05-24,4.972509,5.188149,0.215637,5.091869,0.055498
2025-05-25,4.73225,5.016099,0.283841,4.90783,0.078261
2025-05-26,4.40918,4.690189,0.281006,4.540269,0.06703
2025-05-27,5.131149,5.421979,0.290823,5.28698,0.072186
2025-05-28,5.33367,5.56886,0.235185,5.48739,0.067771
2025-05-29,5.45932,5.663829,0.204512,5.5703,0.056516
2025-05-30,5.23844,5.576429,0.337989,5.457069,0.091102
2025-05-31,5.131659,5.441959,0.310294,5.316689,0.086053
2025-06-01,3.877979,4.15527,0.277294,4.02605,0.072908
2025-06-02,4.75669,5.027699,0.271012,4.89095,0.066653
2025-06-03,3.330349,3.4688,0.138453,3.40786,0.028111
2025-07-06,6.219709,6.63217,0.412461,6.47059,0.113421
2025-07-07,6.31443,6.69643,0.382007,6.507579,0.094493
2025-07-08,6.43127,6.71737,0.286096,6.581049,0.057626
2025-07-09,5.86975,6.229189,0.359443,6.10921,0.109201
2025-07-10,4.85686,5.61343,0.756561,5.36179,0.223845
2025-07-11,3.06025,3.329309,0.269068,3.212729,0.071957
2025-07-12,4.490749,5.067369,0.576619,4.794579,0.136988
2025-07-13,4.86846,5.24791,0.379442,5.11529,0.107574
2025-07-14,5.37993,5.72263,0.342705,5.6062,0.098654
2025-07-15,5.9443,6.12266,0.178361,6.060029,0.05592
2025-07-16,6.279069,6.786029,0.506955,6.55701,0.139843
2025-07-18,4.82165,5.129119,0.307476,5.024819,0.092863
2025-07-19,4.62859,5.007199,0.378609,4.87435,0.11073
2025-07-20,4.05906,4.281,0.221934,4.154749,0.056702
2025-07-21,4.818719,5.135419,0.316698,4.998579,0.086616
2025-07-22,4.977729,5.274059,0.296324,5.179419,0.088416
2025-07-23,5.440899,5.801889,0.360992,5.664879,0.099047
2025-07-25,5.95371,6.12864,0.174933,6.042449,0.041168
2025-07-26,6.03207,6.22344,0.191359,6.154829,0.061181
2025-07-28,5.985469,6.217589,0.232115,6.132249,0.071788
2025-07-29,6.10438,6.39019,0.285815,6.2442,0.055305
2025-07-30,5.971849,6.10544,0.133592,6.02991,0.036003
2025-07-31,5.893539,6.162129,0.26859,6.07165,0.081963
2025-08-01,5.48386,5.741439,0.257582,5.63668,0.072545
