date,minimum,maximum,range,mean,std
2025-04-23,3.81518,3.90927,0.094089,3.87151,0.015037
2025-04-24,3.97894,4.27543,0.296483,4.16727,0.054276
2025-04-25,2.674429,3.44686,0.772431,3.16875,0.154216
2025-04-26,4.09345,4.497129,0.403683,4.26134,0.093762
2025-04-27,3.97402,4.302569,0.328547,4.21563,0.069133
2025-04-28,4.44782,4.719719,0.271899,4.60056,0.042069
2025-04-29,4.06154,4.42492,0.363377,4.294549,0.078907
2025-04-30,1.021989,1.23561,0.213617,1.108139,0.044824
2025-05-01,3.221299,3.347529,0.126231,3.29443,0.025135
2025-05-02,2.06447,2.271899,0.207427,2.15312,0.041166
2025-05-05,3.11102,3.56837,0.457352,3.32135,0.088464
2025-05-07,3.83659,3.9551,0.11851,3.92227,0.019437
2025-05-10,2.02168,2.256079,0.234406,2.12841,0.062662
2025-05-14,2.95894,3.286119,0.327179,3.112629,0.072577
2025-05-15,3.6112,3.79923,0.188024,3.706569,0.035235
2025-05-16,4.25848,4.451809,0.193331,4.38458,0.040433
2025-05-17,4.127669,4.256999,0.129332,4.20582,0.024606
2025-05-18,2.83751,3.44296,0.605443,3.17596,0.122536
2025-05-19,2.20369,2.652299,0.448608,2.466389,0.086428
2025-05-20,3.56427,4.052619,0.488357,3.87571,0.118078
2025-05-21,4.300449,4.608729,0.308277,4.47874,0.061408
2025-05-22,4.22055,4.32031,0.099762,4.281529,0.018404
2025-05-23,4.61244,5.001269,0.388832,4.85226,0.077635
2025-05-24,4.79147,5.082139,0.290672,4.935949,0.062361
2025-05-25,4.495019,4.874639,0.379615,4.69319,0.083892
2025-05-26,4.378019,4.63916,0.261135,4.569059,0.051488
2025-05-27,4.965909,5.304049,0.338147,5.15135,0.066211
2025-05-28,5.142459,5.45732,0.314859,5.32418,0.068954
2025-05-29,5.2017,5.51024,0.308535,5.392539,0.065979
2025-05-30,5.113039,5.44707,0.33403,5.283949,0.062366
2025-05-31,4.84773,5.26861,0.420886,5.07902,0.102769
2025-06-01,3.731169,4.134089,0.402916,4.01097,0.077782
2025-06-02,4.63637,4.947,0.310633,4.78731,0.0742
2025-06-03,3.46954,4.07023,0.600691,3.70876,0.145939
2025-07-06,5.7953,6.39549,0.600192,6.18753,0.118663
2025-07-07,5.98316,6.448659,0.465508,6.2013,0.108272
2025-07-08,6.18726,6.67668,0.489419,6.48121,0.08608
2025-07-09,5.595429,6.177859,0.582432,6.021969,0.122005
2025-07-10,4.85331,5.60851,0.755198,5.34279,0.18183
2025-07-11,3.219409,4.1524,0.93299,3.7167,0.223618
2025-07-12,4.05635,4.783269,0.726917,4.57064,0.166593
2025-07-13,4.45789,4.98106,0.523171,4.692729,0.134473
2025-07-14,5.079899,5.57354,0.493643,5.445119,0.104093
2025-07-15,5.62552,6.01413,0.388606,5.892859,0.069609
2025-07-16,5.816659,6.68903,0.872372,6.40605,0.168121
2025-07-18,4.56358,4.980229,0.416644,4.801219,0.091342
2025-07-19,4.14902,4.770989,0.621972,4.534619,0.143609
2025-07-20,3.89136,4.17776,0.286403,4.062759,0.072979
2025-07-21,4.520209,4.916279,0.396073,4.776659,0.090372
2025-07-22,4.741459,5.11311,0.371647,4.97377,0.08679
2025-07-23,5.0461,5.560599,0.514497,5.33823,0.113055
2025-07-25,5.70474,6.07425,0.369513,5.94221,0.0718
2025-07-26,5.529729,6.011139,0.481409,5.82633,0.090197
2025-07-28,5.73858,6.144569,0.405984,5.95733,0.091695
2025-07-29,6.02435,6.288549,0.264194,6.14438,0.058614
2025-07-30,5.6036,5.98359,0.37999,5.808529,0.084135
