date,minimum,maximum,range,mean,std
2025-04-23,4.30312,4.377389,0.074267,4.34166,0.017642
2025-04-24,4.64931,4.833839,0.184532,4.751029,0.04255
2025-04-25,2.47814,3.047509,0.569375,2.781229,0.130992
2025-04-26,4.36701,4.49481,0.127799,4.427579,0.03155
2025-04-27,4.88282,4.952559,0.069741,4.925849,0.015454
2025-04-28,5.09697,5.421609,0.324633,5.259039,0.084617
2025-04-29,4.17393,4.277569,0.103637,4.21711,0.024739
2025-04-30,1.316079,1.374609,0.058537,1.345829,0.016774
2025-05-01,3.680289,3.84678,0.166482,3.761859,0.045045
2025-05-02,2.35787,2.433909,0.076039,2.40169,0.020152
2025-05-05,2.42102,2.888259,0.46724,2.69929,0.112658
2025-05-07,4.02157,4.142849,0.121284,4.070099,0.033989
2025-05-10,3.367719,3.450629,0.082906,3.423449,0.016296
2025-05-14,3.76887,3.961899,0.193027,3.86946,0.043471
2025-05-15,4.498239,4.581369,0.083127,4.548669,0.020748
2025-05-16,4.699029,4.918819,0.219791,4.83612,0.055352
2025-05-17,5.041399,5.215159,0.173766,5.123149,0.04759
2025-05-18,2.949369,3.231699,0.282328,3.11061,0.069836
2025-05-19,3.49885,3.588989,0.090143,3.538229,0.018054
2025-05-20,4.74583,4.85395,0.108117,4.80733,0.024694
2025-05-21,4.72938,4.86215,0.132779,4.79791,0.03151
2025-05-22,4.861849,5.03446,0.172613,4.960939,0.036465
2025-05-23,5.584939,5.696179,0.111235,5.639379,0.027834
2025-05-24,5.84567,5.96045,0.114774,5.922349,0.02732
2025-05-25,5.17561,5.40464,0.229036,5.284649,0.052575
2025-05-26,4.848579,5.07276,0.224178,4.95967,0.048262
2025-05-27,5.506919,5.68336,0.176434,5.59216,0.040548
2025-05-28,5.776649,5.952119,0.17547,5.871729,0.036344
2025-05-29,6.486279,6.72791,0.241621,6.640669,0.056406
2025-05-30,5.72724,5.9263,0.199064,5.85504,0.043691
2025-05-31,5.937139,6.203509,0.266375,6.119929,0.058072
2025-06-01,3.95507,4.295509,0.340438,4.12722,0.079341
2025-06-02,4.51384,4.84553,0.331687,4.70089,0.079315
2025-06-03,3.617449,3.837419,0.219973,3.732399,0.048847
2025-07-06,6.14447,6.42845,0.28398,6.284399,0.065789
2025-07-07,6.04263,6.302159,0.259537,6.18717,0.063465
2025-07-08,7.477419,7.546529,0.069109,7.51723,0.015903
2025-07-09,6.068299,6.222559,0.154255,6.15884,0.031407
2025-07-10,5.06294,5.2782,0.215259,5.16766,0.05242
2025-07-11,2.68161,2.7571,0.075489,2.719269,0.016576
2025-07-12,3.976749,4.300849,0.324092,4.139319,0.077175
2025-07-13,5.197509,5.41682,0.219313,5.304599,0.050738
2025-07-14,5.830039,6.08049,0.250447,5.96284,0.054689
2025-07-15,6.558159,6.754129,0.195969,6.674489,0.042385
2025-07-16,6.454589,6.734779,0.280185,6.599619,0.071285
2025-07-18,5.16543,5.442699,0.277272,5.308479,0.064515
2025-07-19,5.17311,5.386079,0.212965,5.2737,0.049793
2025-07-20,4.63451,4.80283,0.168322,4.730239,0.038262
2025-07-21,5.69215,5.867189,0.175042,5.798009,0.036947
2025-07-22,5.820219,6.078569,0.258349,5.942279,0.05879
2025-07-23,5.261449,5.48738,0.225927,5.36532,0.05142
2025-07-25,7.241199,7.39787,0.156672,7.3383,0.038422
2025-07-26,7.05633,7.306519,0.250189,7.200079,0.061075
2025-07-28,6.43859,6.696559,0.25797,6.569419,0.059951
2025-07-29,7.893919,8.118189,0.224272,8.03497,0.058152
2025-07-30,7.296199,7.38877,0.092572,7.341839,0.020118
2025-07-31,6.719999,6.867529,0.14753,6.81512,0.031951
2025-08-01,5.848909,6.080689,0.231787,5.96391,0.053879
2025-08-02,6.085229,6.20792,0.12269,6.15662,0.024635
2025-08-03,6.867249,7.091849,0.224592,7.00563,0.053112
2025-08-04,6.750249,6.885049,0.134798,6.816329,0.030751
2025-08-05,6.248839,6.42429,0.175448,6.36953,0.036157
2025-08-06,5.91967,6.102079,0.182414,6.009089,0.039938
2025-08-07,5.4242,5.72684,0.302632,5.63139,0.064033
2025-08-08,5.556879,5.731659,0.174785,5.664989,0.033775
2025-08-09,6.024099,6.26202,0.237917,6.18166,0.050981
2025-08-10,6.516789,6.738359,0.221564,6.66655,0.045792
2025-08-11,6.258709,6.50187,0.243163,6.416389,0.049416
2025-08-12,5.298049,5.36207,0.064023,5.33359,0.017893
2025-08-13,5.960149,6.23323,0.273075,6.103,0.0578
