date,minimum,maximum,range,mean,std
2025-04-23,4.98329,5.05521,0.071921,5.025909,0.021274
2025-04-24,4.94293,5.10228,0.159347,5.03516,0.035963
2025-04-25,3.858279,3.95932,0.101034,3.90755,0.025069
2025-04-26,5.086679,5.14821,0.061525,5.12055,0.01648
2025-04-27,5.09763,5.21709,0.119465,5.166339,0.026816
2025-04-28,5.155469,5.30518,0.14971,5.233139,0.038218
2025-04-29,2.522929,2.708149,0.185222,2.63221,0.05036
2025-04-30,3.38435,3.448379,0.064033,3.41279,0.015774
2025-05-01,4.26204,4.363059,0.10102,4.30901,0.024276
2025-05-02,3.01757,3.078929,0.061353,3.0388,0.014362
2025-05-05,3.288969,3.330739,0.041774,3.31502,0.012278
2025-05-07,3.591059,3.80232,0.21126,3.685889,0.053744
2025-05-10,4.04635,4.192639,0.146283,4.133339,0.033811
2025-05-14,4.319139,4.424839,0.1057,4.3723,0.027952
2025-05-15,4.788529,4.87648,0.087955,4.835549,0.020073
2025-05-16,5.05983,5.162469,0.102645,5.102479,0.025456
2025-05-17,5.33895,5.44565,0.106702,5.38535,0.025546
2025-05-18,3.922849,4.037079,0.114221,3.969389,0.029114
2025-05-19,4.876309,4.96885,0.092545,4.91589,0.023886
2025-05-20,5.216159,5.2852,0.069037,5.25509,0.019222
2025-05-21,5.27425,5.3743,0.100048,5.33049,0.028344
2025-05-22,5.692339,5.765299,0.072958,5.72543,0.020528
2025-05-23,6.16024,6.24103,0.080788,6.1982,0.022584
2025-05-24,6.201449,6.30491,0.103459,6.255869,0.029529
2025-05-25,5.67531,5.76021,0.084902,5.721479,0.02386
2025-05-26,5.601009,5.69923,0.098226,5.65877,0.028869
2025-05-27,5.857049,5.934689,0.07764,5.89439,0.021846
2025-05-28,6.115069,6.25118,0.136111,6.175899,0.033808
2025-05-29,6.3453,6.46643,0.121133,6.399789,0.030257
2025-05-30,6.26973,6.37477,0.105036,6.316609,0.028104
2025-05-31,6.28376,6.45928,0.175519,6.37746,0.051174
2025-06-01,5.91121,6.183879,0.272675,6.039909,0.073967
2025-06-02,5.066949,5.191619,0.12467,5.135009,0.035717
2025-06-03,4.636799,4.68939,0.052589,4.65777,0.012769
2025-07-06,6.39411,6.49098,0.096878,6.45694,0.026017
2025-07-07,6.178269,6.2971,0.11883,6.24798,0.031069
2025-07-08,5.809239,5.831079,0.021845,5.8192,0.006601
2025-07-09,4.50151,4.682219,0.180704,4.60046,0.049045
2025-07-10,4.628109,4.69356,0.065445,4.668059,0.017826
2025-07-11,2.740669,2.746229,0.005563,2.744119,0.001342
2025-07-12,3.921979,3.99704,0.075055,3.960629,0.020102
2025-07-13,4.55729,4.661089,0.103803,4.62723,0.026184
2025-07-14,6.252369,6.355919,0.103549,6.314809,0.027518
2025-07-15,6.60654,6.724709,0.118167,6.674849,0.031531
2025-07-16,6.510119,6.644309,0.134189,6.59271,0.036543
2025-07-18,4.802179,4.897379,0.095198,4.84207,0.022303
2025-07-19,5.707689,5.856249,0.148561,5.785679,0.037005
2025-07-20,5.06077,5.255109,0.194341,5.142129,0.046566
2025-07-21,5.952569,6.038219,0.085648,6.0054,0.022915
2025-07-22,5.945859,6.11002,0.164153,6.03585,0.041648
2025-07-23,5.51806,5.66018,0.142115,5.588359,0.03587
2025-07-25,8.78678,9.34714,0.560357,9.067669,0.151123
2025-07-26,6.635039,6.91824,0.283194,6.776659,0.076881
2025-07-28,6.43094,6.706069,0.275132,6.575479,0.074203
2025-07-29,7.537189,7.968359,0.431167,7.75085,0.117023
2025-07-30,6.43156,6.644189,0.212632,6.535339,0.058111
2025-07-31,5.86138,6.06019,0.198809,5.966959,0.053626
2025-08-01,5.616099,5.85649,0.24039,5.742,0.064861
2025-08-02,5.49509,5.62748,0.132383,5.568029,0.035952
2025-08-03,6.27009,6.517519,0.247428,6.399509,0.066744
2025-08-04,5.376689,5.453519,0.076824,5.42152,0.021043
2025-08-05,5.836699,5.980539,0.143831,5.91892,0.039073
2025-08-06,4.705019,4.728419,0.023406,4.72162,0.006729
2025-08-07,4.873519,4.943399,0.069881,4.911819,0.019417
2025-08-08,4.65987,4.720749,0.060878,4.69496,0.016764
2025-08-09,5.37409,5.518539,0.144453,5.45168,0.03954
2025-08-10,5.383709,5.45054,0.066838,5.422979,0.018333
2025-08-11,5.894909,6.124869,0.229964,6.013979,0.06197
2025-08-12,5.09559,5.13737,0.041782,5.12118,0.009625
2025-08-13,6.278059,6.37828,0.100225,6.336919,0.026094
2025-08-18,5.12964,5.17362,0.043984,5.15345,0.011503
2025-08-19,5.56928,5.675799,0.106522,5.62502,0.026229
2025-08-20,5.60362,5.76557,0.161954,5.682429,0.039793
2025-08-21,5.420839,5.576539,0.155708,5.50318,0.04023
2025-08-22,4.989009,5.1047,0.115696,5.05028,0.029865
2025-08-23,5.12434,5.307529,0.183186,5.21291,0.045091
2025-08-24,4.868909,4.944449,0.07554,4.914579,0.021206
2025-08-25,5.006319,5.063119,0.056798,5.040989,0.014999
2025-08-26,5.509329,5.57142,0.062091,5.54432,0.016326
2025-08-28,4.73675,4.775229,0.038483,4.76309,0.010829
2025-08-29,4.389579,4.41934,0.029753,4.41024,0.007927
2025-08-30,4.22448,4.25915,0.034669,4.241889,0.009405
2025-08-31,3.797139,3.849879,0.052742,3.833539,0.011829
2025-09-01,4.575799,4.619669,0.043869,4.60231,0.011296
2025-09-02,3.678459,3.73193,0.05347,3.701719,0.012814
2025-09-03,4.46875,4.61244,0.143687,4.545249,0.038734
2025-09-04,4.521329,4.57247,0.051137,4.55515,0.01055
2025-09-05,5.05488,5.117519,0.062636,5.087669,0.016643
2025-09-06,4.07316,4.09349,0.020326,4.082089,0.004505
2025-09-07,2.958359,2.996789,0.038432,2.977159,0.010079
2025-09-08,4.93766,5.01442,0.076762,4.985559,0.021261
2025-09-09,4.360519,4.41965,0.059129,4.401209,0.016423
2025-09-11,4.174459,4.318719,0.144256,4.24617,0.041571
2025-09-13,4.266359,4.37051,0.104151,4.326139,0.029195
