date,minimum,maximum,range,mean,std
2025-04-23,3.90769,4.120409,0.212727,4.005929,0.036825
2025-04-24,4.417759,4.797949,0.380189,4.484899,0.07595
2025-04-25,2.03273,4.087999,2.055269,3.408859,0.502359
2025-04-26,4.092919,4.69355,0.600628,4.439109,0.105065
2025-04-27,4.588349,5.25605,0.667702,4.80691,0.122873
2025-04-28,4.505849,4.976809,0.470957,4.66789,0.108947
2025-04-29,2.903209,4.80914,1.90593,3.764329,0.371286
2025-04-30,0.952467,1.13047,0.178008,1.02591,0.040215
2025-05-01,2.449939,3.680619,1.230679,3.05302,0.234951
2025-05-02,1.25799,2.602099,1.34411,1.938249,0.25795
2025-05-05,2.88297,3.46298,0.580012,3.11174,0.13894
2025-05-07,3.09237,4.359729,1.267349,3.79218,0.228762
2025-05-10,2.299679,3.142189,0.842512,2.825249,0.17362
2025-05-14,2.86295,3.768179,0.905223,3.441099,0.179416
2025-05-15,3.46794,4.26414,0.7962,3.98217,0.162012
2025-05-16,4.67491,5.368899,0.693994,4.92282,0.111218
2025-05-17,3.99989,4.898019,0.898128,4.39724,0.159171
2025-05-18,2.94756,4.003119,1.055559,3.56777,0.254337
2025-05-19,2.263279,3.22214,0.958868,2.81532,0.198281
2025-05-20,4.14505,4.543059,0.398007,4.330049,0.094915
2025-05-21,4.56894,4.92978,0.360837,4.749549,0.075855
2025-05-22,4.232299,4.694119,0.461818,4.47448,0.093263
2025-05-23,4.984789,5.81927,0.834481,5.451039,0.151448
2025-05-24,5.347849,5.63729,0.28944,5.425459,0.046457
2025-05-25,5.045619,5.863289,0.817668,5.39093,0.182079
2025-05-26,4.704599,5.15628,0.451676,4.931519,0.102076
2025-05-27,5.328159,5.67009,0.341926,5.50324,0.075394
2025-05-28,5.586649,5.817639,0.230994,5.702839,0.055381
2025-05-29,5.92881,6.328869,0.400059,6.07165,0.082395
2025-05-30,5.487989,5.71043,0.222437,5.578169,0.03487
2025-05-31,5.890019,6.633019,0.743,6.103209,0.149473
2025-06-01,4.23079,5.82485,1.594059,4.837999,0.331369
2025-06-02,4.729279,5.253409,0.524128,4.97166,0.123024
2025-06-03,2.852699,3.858809,1.0061,3.41539,0.234124
2025-07-06,6.383059,6.992949,0.609888,6.646959,0.124921
2025-07-07,6.497799,7.00083,0.503023,6.80093,0.086085
2025-07-08,6.23282,8.55268,2.319859,7.33329,0.432475
2025-07-09,6.0798,6.94529,0.86549,6.473199,0.155088
2025-07-10,4.421179,6.026209,1.605029,5.50079,0.365305
2025-07-11,2.476409,2.985049,0.508633,2.71682,0.122146
2025-07-12,3.59872,5.05794,1.45922,4.4931,0.323078
2025-07-13,4.87547,5.40421,0.528734,5.223989,0.105185
2025-07-14,5.83655,6.179639,0.343089,6.004859,0.079813
2025-07-15,6.172969,7.01345,0.840484,6.518589,0.15672
2025-07-16,7.076439,7.66518,0.588747,7.264619,0.122327
2025-07-18,4.76758,6.152289,1.384709,5.619619,0.306304
2025-07-19,5.203979,5.549099,0.345122,5.334849,0.091275
2025-07-20,3.65383,4.92954,1.275709,4.44533,0.256399
2025-07-21,5.590109,5.833099,0.242982,5.74765,0.058869
2025-07-22,5.73282,6.73706,1.00425,6.23189,0.208288
2025-07-23,5.10263,6.493879,1.39126,5.6673,0.26545
2025-07-25,7.412549,8.40359,0.991035,7.671889,0.221619
2025-07-26,6.595109,7.519229,0.924126,6.85019,0.201927
2025-07-28,7.147679,7.552239,0.404561,7.32069,0.087918
2025-07-29,6.747029,9.50261,2.755579,7.97515,0.510473
2025-07-30,6.38418,8.28441,1.900239,7.137169,0.366474
2025-07-31,6.26415,7.3632,1.09905,6.537209,0.249816
