date,minimum,maximum,range,mean,std
2025-04-23,3.94419,4.06321,0.11902,3.9707,0.032278
2025-04-24,4.53128,4.673669,0.142396,4.589789,0.036536
2025-04-25,3.589509,4.036509,0.447003,3.835619,0.117625
2025-04-26,4.38008,4.57034,0.190256,4.452569,0.043044
2025-04-27,4.54569,4.709469,0.163773,4.616539,0.035224
2025-04-28,4.582369,4.74306,0.160692,4.675839,0.039661
2025-04-29,3.88975,4.3555,0.465745,4.15415,0.13237
2025-04-30,0.864894,1.027369,0.162474,0.962464,0.042647
2025-05-01,3.28362,4.00999,0.726368,3.58148,0.187707
2025-05-02,2.017819,2.73439,0.716567,2.33607,0.18208
2025-05-05,3.07027,3.359009,0.288747,3.16229,0.072111
2025-05-07,3.893539,4.169589,0.276051,4.047639,0.072772
2025-05-10,2.68914,2.95354,0.264398,2.772109,0.056947
2025-05-14,3.51166,3.776489,0.264838,3.600419,0.05315
2025-05-15,3.930419,4.221079,0.290652,4.008609,0.05492
2025-05-16,4.80558,4.93484,0.129262,4.85923,0.031156
2025-05-17,4.58325,4.71387,0.130616,4.631609,0.030447
2025-05-18,4.098529,4.67354,0.575011,4.293869,0.133238
2025-05-19,3.130609,3.325649,0.195038,3.197669,0.045523
2025-05-20,4.392529,4.635509,0.242985,4.453139,0.065342
2025-05-21,4.77465,4.97692,0.20227,4.84811,0.049034
2025-05-22,4.449419,4.666339,0.216925,4.54677,0.048031
2025-05-23,5.349229,5.542799,0.19357,5.44147,0.045669
2025-05-24,5.483399,5.655489,0.172092,5.57237,0.045685
2025-05-25,5.504079,5.697159,0.193078,5.61144,0.049542
2025-05-26,4.9562,5.196559,0.240354,5.046329,0.048809
2025-05-27,5.60327,5.80273,0.199459,5.723309,0.05532
2025-05-28,6.021669,6.13038,0.108705,6.08862,0.023203
2025-05-29,6.095739,6.245989,0.150246,6.18764,0.040177
2025-05-30,5.979119,6.505259,0.526142,6.18541,0.13663
2025-05-31,6.182059,6.593369,0.411309,6.36565,0.103321
2025-06-01,4.804369,5.156819,0.35245,4.97619,0.089002
2025-06-02,5.169779,5.50042,0.330637,5.344719,0.087059
2025-06-03,2.896569,3.242719,0.346148,3.078819,0.073144
2025-07-06,6.863389,7.136199,0.272808,6.95089,0.073418
2025-07-07,6.93872,7.246469,0.307743,7.055809,0.077391
2025-07-08,7.41475,8.338549,0.923801,7.79188,0.236267
2025-07-09,6.950439,7.802629,0.852187,7.263539,0.224167
2025-07-10,6.240799,7.147699,0.906899,6.58435,0.237056
2025-07-11,3.246279,5.054349,1.80806,4.02111,0.473666
2025-07-12,5.10015,5.53735,0.437196,5.28948,0.115419
2025-07-13,5.54504,6.160659,0.615622,5.77846,0.156673
2025-07-14,6.24932,6.580389,0.331064,6.371129,0.080759
2025-07-15,6.70483,6.82173,0.116901,6.75957,0.026882
2025-07-16,7.691339,8.66689,0.975548,8.064629,0.263229
2025-07-18,5.633649,6.25395,0.620301,5.886569,0.142509
2025-07-19,5.36567,5.99665,0.630985,5.643529,0.143647
2025-07-20,4.82481,5.17978,0.354968,4.97556,0.079672
2025-07-21,6.03807,6.17712,0.139048,6.076499,0.031324
2025-07-22,6.259779,6.42742,0.16764,6.30487,0.039755
2025-07-23,5.88345,6.533689,0.650233,6.123209,0.165134
2025-07-25,7.05689,7.597089,0.540194,7.29295,0.124133
2025-07-26,6.695089,7.17534,0.480248,6.886539,0.118951
2025-07-28,7.29075,7.72836,0.437608,7.44322,0.103159
2025-07-29,7.549119,8.032779,0.483662,7.731709,0.109021
2025-07-30,7.070179,7.67848,0.608303,7.28421,0.154432
2025-07-31,6.46857,7.25505,0.786481,6.79111,0.21118
2025-08-01,6.44045,6.996419,0.555963,6.66018,0.143043
2025-08-02,6.470469,6.87196,0.401484,6.621049,0.113158
2025-08-03,6.872779,7.630589,0.757808,7.186729,0.199643
2025-08-04,6.89406,7.25742,0.363362,7.06398,0.096836
2025-08-05,6.71321,6.854479,0.141271,6.78704,0.029052
2025-08-06,6.72125,7.46045,0.739198,7.00538,0.201337
2025-08-07,6.685579,7.36174,0.676162,6.934189,0.178728
2025-08-08,6.477009,7.11148,0.63447,6.70619,0.164888
2025-08-09,6.248189,6.50012,0.251937,6.325319,0.058519
2025-08-10,7.060729,7.68022,0.619497,7.28664,0.165096
2025-08-11,5.925779,6.13851,0.212738,5.997169,0.048162
2025-08-12,5.79011,6.577869,0.787756,6.076479,0.202316
2025-08-13,5.937699,6.019599,0.081893,5.960669,0.017536
2025-08-18,5.291269,5.475039,0.183769,5.385869,0.035395
2025-08-19,5.54194,5.70238,0.16044,5.59024,0.034093
2025-08-20,5.424369,5.52849,0.104115,5.466499,0.022589
2025-08-21,4.945449,5.088709,0.14326,4.991139,0.0313
2025-08-22,5.38851,5.911709,0.523202,5.61869,0.132811
2025-08-23,5.64926,6.15842,0.509159,5.83405,0.138248
2025-08-24,5.286149,5.56154,0.275393,5.38102,0.072754
2025-08-25,5.50399,5.841869,0.337884,5.623909,0.08882
2025-08-26,5.550089,5.738609,0.188525,5.61147,0.048951
2025-08-28,5.03423,5.287459,0.253232,5.120079,0.061437
2025-08-29,4.468989,4.94033,0.471332,4.676189,0.106559
2025-08-30,4.857409,5.04503,0.187618,4.91694,0.040609
