date,mean
2025-10-28,1.5
2025-10-29,1.64
2025-10-30,1.55
2025-10-31,1.84
2025-11-01,1.17
2025-11-02,1.75
2025-11-03,1.8
2025-11-04,1.7
2025-11-05,1.94
2025-11-06,1.47
2025-11-07,1.47
2025-11-08,1.44
2025-11-09,1.17
2025-11-10,0.98
2025-11-11,1.37
2025-11-12,1.6
2025-11-13,1.6
2025-11-14,0.82
2025-11-15,0.79
2025-11-16,0.79
2025-11-17,0.89
2025-11-18,1.45
2025-11-19,0.96
2025-11-20,1.2
2025-11-21,1.37
2025-11-22,1.17
2025-11-23,0.99
2025-11-24,0.72
2025-11-25,1.42
2025-11-26,1.16
2025-11-27,1.05
2025-11-28,0.86
2025-11-29,0.8
2025-11-30,1.44
2025-12-01,1.02
2025-12-02,1.02
2025-12-03,0.89
2025-12-04,1.13
2025-12-05,0.72
2025-12-06,1.03
2025-12-07,0.86
2025-12-08,0.96
2025-12-09,0.82
2025-12-10,0.69
2025-12-11,0.78
2025-12-12,0.48
2025-12-13,1.29
2025-12-14,1.25
2025-12-15,0.5
2025-12-16,1.05
2025-12-17,0.86
2025-12-18,0.81
2025-12-19,0.85
2025-12-20,0.79
2025-12-21,0.7
2025-12-22,0.7
2025-12-23,0.64
2025-12-24,0.73
2025-12-25,0.76
2025-12-26,0.68
2025-12-27,1.1
2025-12-28,0.99
2025-12-29,0.69
2025-12-30,0.67
2025-12-31,0.79
2026-01-01,0.57
2026-01-02,1.21
2026-01-03,0.67
2026-01-04,1.08
2026-01-05,1.41
2026-01-06,1.2
2026-01-07,0.59
2026-01-08,0.53
2026-01-09,1.09
2026-01-10,0.71
2026-01-11,0.55
2026-01-12,0.86
2026-01-13,0.7
2026-01-14,0.7
2026-01-15,0.58
2026-01-16,0.56
2026-01-17,0.75
2026-01-18,0.88
2026-01-19,1.16
2026-01-20,0.78
2026-01-21,0.95
2026-01-22,0.71
2026-01-23,0.66
2026-01-24,0.98
2026-01-25,0.7
2026-01-26,0.78
2026-01-27,1.26
2026-01-28,1.74
2026-01-29,0.57
2026-01-30,1.23
2026-01-31,1.35
2026-02-02,0.61
