date,mean
2025-10-28,1.19
2025-10-29,1.51
2025-10-30,1.63
2025-10-31,0.95
2025-11-01,1.44
2025-11-02,1.69
2025-11-03,1.46
2025-11-04,1.67
2025-11-05,2.23
2025-11-06,1.64
2025-11-07,1.64
2025-11-08,1.52
2025-11-09,1.31
2025-11-10,1.36
2025-11-11,1.54
2025-11-12,1.3
2025-11-13,1.3
2025-11-14,1.36
2025-11-15,1.39
2025-11-16,1.39
2025-11-17,1.24
2025-11-18,1.55
2025-11-19,1.43
2025-11-20,1.77
2025-11-21,2.18
2025-11-22,1.63
2025-11-23,0.98
2025-11-24,0.89
2025-11-25,1.54
2025-11-26,1.58
2025-11-27,1.49
2025-11-28,1.07
2025-11-29,1.04
2025-11-30,1.59
2025-12-01,1.3
2025-12-02,1.3
2025-12-03,1.22
2025-12-04,1.12
2025-12-05,0.72
2025-12-06,0.86
2025-12-07,0.84
2025-12-08,1.12
2025-12-09,0.72
2025-12-10,1.13
2025-12-11,0.8
2025-12-12,0.47
2025-12-13,1.41
2025-12-14,1.59
2025-12-15,0.81
2025-12-16,1.6
2025-12-17,1.19
2025-12-18,0.88
2025-12-19,1.18
2025-12-20,0.82
2025-12-21,0.93
2025-12-22,0.87
2025-12-23,0.86
2025-12-24,0.85
2025-12-25,0.87
2025-12-26,0.86
2025-12-27,1.01
2025-12-28,1.17
2025-12-29,0.85
2025-12-30,0.63
2025-12-31,0.88
2026-01-01,0.83
2026-01-02,1.2
2026-01-03,0.71
2026-01-04,1.47
2026-01-05,1.68
2026-01-06,1.61
2026-01-07,1.17
2026-01-08,0.75
2026-01-09,1.26
2026-01-10,0.9
2026-01-11,0.66
2026-01-12,1.21
2026-01-13,1.07
2026-01-14,0.98
2026-01-15,1.01
2026-01-16,0.72
2026-01-17,1.02
2026-01-18,1.07
2026-01-19,1.22
2026-01-20,0.96
2026-01-21,1.26
2026-01-22,1.12
2026-01-23,1.14
2026-01-24,1.13
2026-01-25,0.95
2026-01-26,0.89
2026-01-27,1.59
2026-01-28,1.45
2026-01-29,0.73
2026-01-30,1.26
2026-01-31,1.49
2026-02-01,0.51
2026-02-02,1.6
2026-02-03,1.34
2026-02-04,0.53
