date,minimum,maximum,range,mean,std
2025-04-23,4.71458,4.77147,0.056888,4.7388,0.010374
2025-04-24,5.04813,5.123569,0.075444,5.07061,0.015762
2025-04-25,3.93365,4.470459,0.536809,4.114649,0.115933
2025-04-26,4.9166,5.40558,0.488985,5.08436,0.100666
2025-04-27,5.20272,5.236149,0.033424,5.213759,0.004278
2025-04-28,5.06463,5.313189,0.248551,5.214179,0.060007
2025-04-29,3.327749,3.747109,0.419362,3.48878,0.066782
2025-04-30,1.71832,2.383029,0.664713,2.17735,0.161212
2025-05-01,4.02989,4.271709,0.241815,4.14608,0.067469
2025-05-02,2.762229,2.89361,0.131373,2.84731,0.03485
2025-05-05,3.406389,3.90473,0.49834,3.553309,0.081165
2025-05-07,3.929589,4.074069,0.144476,4.002689,0.031923
2025-05-10,3.623929,3.95703,0.333097,3.776279,0.054499
2025-05-14,4.66052,5.04707,0.386545,4.78457,0.058158
2025-05-15,5.252349,5.55557,0.303223,5.337329,0.046162
2025-05-16,4.892759,5.113699,0.220941,4.95895,0.036939
2025-05-17,5.66268,5.768229,0.105554,5.736589,0.020512
2025-05-18,4.84068,5.3835,0.542815,5.02915,0.083148
2025-05-19,4.535099,4.714779,0.179686,4.630099,0.048986
2025-05-20,5.477109,5.761549,0.284438,5.54577,0.060292
2025-05-21,5.853889,5.98046,0.126574,5.927,0.018958
2025-05-22,5.803199,5.937129,0.133935,5.864999,0.019271
2025-05-23,6.54334,7.00254,0.459201,6.641329,0.096961
2025-05-24,6.135469,6.246099,0.11063,6.193389,0.024302
2025-05-25,6.23683,6.438119,0.201293,6.316189,0.032097
2025-05-26,6.261869,6.466149,0.204275,6.33572,0.034866
2025-05-27,6.22158,6.50193,0.280344,6.295849,0.058387
2025-05-28,6.199059,6.930809,0.73175,6.69926,0.166054
2025-05-29,6.82204,7.499189,0.677142,7.27078,0.15165
2025-05-30,6.83476,7.063739,0.228976,6.955679,0.059307
2025-05-31,7.41863,7.92888,0.510245,7.63589,0.13918
2025-06-01,6.52013,6.996829,0.476705,6.73291,0.10983
2025-06-02,6.014369,6.436419,0.422049,6.15945,0.065516
2025-06-03,4.199279,4.336659,0.137381,4.295239,0.023966
2025-07-06,7.55877,7.8284,0.269634,7.652629,0.040159
2025-07-07,7.38736,7.62091,0.233551,7.49489,0.060668
2025-07-08,7.51693,7.80622,0.289288,7.643819,0.06725
2025-07-09,6.97025,7.238599,0.268346,7.088089,0.044968
2025-07-10,6.599349,6.99369,0.394331,6.76034,0.061406
2025-07-11,4.17666,4.82915,0.652494,4.479959,0.183232
2025-07-12,4.613989,5.297369,0.683381,4.778069,0.152381
2025-07-13,6.456289,6.867249,0.410966,6.536079,0.087901
2025-07-14,7.116059,7.275609,0.159547,7.20366,0.037606
2025-07-15,7.326859,7.443819,0.116959,7.391119,0.029409
2025-07-16,7.889629,8.17448,0.284846,7.97269,0.048969
2025-07-18,7.00048,7.3473,0.346819,7.169539,0.067823
2025-07-19,7.050509,7.359129,0.308625,7.204299,0.056497
2025-07-20,5.04741,5.798739,0.751326,5.261899,0.173206
2025-07-21,6.89055,7.02675,0.136198,6.968019,0.033528
2025-07-22,7.363679,7.47628,0.112602,7.43872,0.021819
2025-07-23,5.49663,6.359779,0.863157,5.72309,0.19641
2025-07-25,8.467289,8.796489,0.329201,8.609239,0.088482
2025-07-26,7.24904,7.524839,0.275793,7.37053,0.065049
2025-07-28,6.54684,7.44256,0.89572,7.186079,0.202998
2025-07-29,7.65985,8.149279,0.48943,7.78025,0.100519
2025-07-30,6.689149,7.2652,0.576049,6.884369,0.134798
2025-07-31,7.4022,7.854979,0.452784,7.60784,0.125558
2025-08-01,7.355219,7.62896,0.273745,7.45381,0.037959
2025-08-02,6.830679,6.902579,0.071902,6.86944,0.016276
2025-08-03,7.39903,7.47302,0.073991,7.44491,0.014352
2025-08-04,7.24726,7.489109,0.241852,7.36384,0.054002
2025-08-05,7.462689,7.84276,0.380073,7.614779,0.103072
2025-08-06,7.00536,7.3874,0.382039,7.181369,0.075928
2025-08-07,6.341559,6.763569,0.422008,6.44807,0.078901
2025-08-08,6.52789,6.91481,0.386927,6.710669,0.086042
2025-08-09,6.617189,6.892489,0.275308,6.764999,0.069844
2025-08-10,7.17487,7.412799,0.237923,7.258069,0.031742
2025-08-11,7.071609,7.14797,0.076358,7.11495,0.015858
2025-08-12,6.98,7.316649,0.33665,7.19811,0.089092
2025-08-13,7.61598,7.992809,0.376828,7.84343,0.094943
2025-08-18,6.37757,6.481719,0.104146,6.43334,0.020041
2025-08-19,6.83187,7.016749,0.184882,6.93124,0.035828
