date,minimum,maximum,range,mean,std
2025-04-23,4.54741,4.723229,0.175825,4.667109,0.037893
2025-04-24,4.846819,5.02259,0.17577,4.962329,0.036556
2025-04-25,3.732939,3.889879,0.156941,3.809859,0.028456
2025-04-26,4.79404,4.91334,0.119304,4.8541,0.017247
2025-04-27,5.001659,5.187809,0.186149,5.120329,0.037892
2025-04-28,5.17456,5.331669,0.157102,5.22557,0.027069
2025-04-29,2.656049,3.391079,0.735031,3.061959,0.165053
2025-04-30,1.65285,1.94498,0.292127,1.81768,0.054139
2025-05-01,3.741919,3.91067,0.168751,3.821589,0.026743
2025-05-02,2.662319,2.87367,0.211349,2.77126,0.036814
2025-05-05,2.97842,3.18758,0.20915,3.05362,0.03783
2025-05-07,3.67033,3.828119,0.157791,3.74408,0.035305
2025-05-10,3.756979,4.096189,0.339204,3.896169,0.079278
2025-05-14,4.18553,4.576409,0.390881,4.36875,0.092649
2025-05-15,4.83759,5.10972,0.272127,4.958909,0.056801
2025-05-16,4.45616,4.894269,0.438107,4.73646,0.08191
2025-05-17,5.38666,5.60781,0.221143,5.48788,0.052867
2025-05-18,4.15255,4.457399,0.30485,4.283959,0.071935
2025-05-19,4.20205,4.425389,0.223344,4.3452,0.054499
2025-05-20,5.178639,5.461939,0.283293,5.30799,0.055144
2025-05-21,5.43376,5.84174,0.407979,5.618259,0.081772
2025-05-22,5.42564,5.748589,0.322957,5.581089,0.073308
2025-05-23,6.22799,6.40106,0.173072,6.31192,0.043359
2025-05-24,5.7062,6.25248,0.546279,5.93237,0.108544
2025-05-25,5.709859,6.313819,0.603955,5.96875,0.115417
2025-05-26,5.75119,6.37047,0.619282,5.98702,0.121974
2025-05-27,5.676919,6.375969,0.699045,6.00108,0.128993
2025-05-28,5.943459,6.84424,0.900786,6.36658,0.175093
2025-05-29,6.46083,7.17212,0.711299,6.795639,0.147523
2025-05-30,5.916679,6.822679,0.905992,6.36449,0.181835
2025-05-31,6.44137,7.10831,0.666939,6.781549,0.140648
2025-06-01,5.595359,6.122109,0.526751,5.892089,0.106587
2025-06-02,5.495379,5.759319,0.263936,5.6311,0.058958
2025-06-03,4.194829,4.30553,0.110699,4.25492,0.016506
2025-07-06,7.00738,7.364399,0.357014,7.208829,0.083014
2025-07-07,6.7989,7.242199,0.4433,7.00391,0.099478
2025-07-08,7.041019,7.34457,0.303546,7.18201,0.057814
2025-07-09,6.402619,6.767099,0.364475,6.610859,0.080581
2025-07-10,5.795979,6.184199,0.388215,5.949669,0.083807
2025-07-11,3.12664,3.652859,0.526224,3.36664,0.124498
2025-07-12,4.287189,4.62549,0.338306,4.447919,0.076708
2025-07-13,5.982029,6.34283,0.360808,6.177299,0.085313
2025-07-14,6.529839,6.93128,0.401432,6.711619,0.083457
2025-07-15,6.707159,7.23858,0.531422,6.95236,0.112286
2025-07-16,7.25003,7.702919,0.452885,7.475299,0.091263
2025-07-18,5.97874,6.585979,0.607235,6.26842,0.139999
2025-07-19,6.0707,6.655889,0.585192,6.36628,0.122506
2025-07-20,4.97158,5.252029,0.280443,5.108799,0.063915
2025-07-21,6.399069,6.74405,0.344981,6.538529,0.07239
2025-07-22,6.64408,7.175769,0.53169,6.90675,0.132763
2025-07-23,4.935639,5.571139,0.6355,5.260879,0.144145
2025-07-25,8.24796,8.4229,0.174942,8.345529,0.029901
2025-07-26,6.91826,7.811979,0.893712,7.35394,0.167648
2025-07-28,6.71783,7.096129,0.378291,6.887269,0.067323
