date,mean
2025-10-28,1.69
2025-10-29,1.43
2025-10-30,1.36
2025-10-31,0.96
2025-11-01,1.01
2025-11-02,1.29
2025-11-03,1.73
2025-11-04,2.63
2025-11-05,1.85
2025-11-06,1.42
2025-11-07,1.42
2025-11-08,1.27
2025-11-09,1.05
2025-11-10,0.8
2025-11-11,1.84
2025-11-12,1.79
2025-11-13,1.79
2025-11-14,1.06
2025-11-15,0.73
2025-11-16,0.73
2025-11-17,0.93
2025-11-18,0.91
2025-11-19,0.92
2025-11-20,1.15
2025-11-21,1.18
2025-11-22,0.82
2025-11-23,0.75
2025-11-24,1.33
2025-11-25,1.19
2025-11-26,0.79
2025-11-27,0.67
2025-11-28,0.59
2025-11-29,0.55
2025-11-30,1
2025-12-01,0.8
2025-12-02,0.8
2025-12-03,0.71
2025-12-04,1.16
2025-12-05,0.73
2025-12-06,0.89
2025-12-07,0.9
2025-12-08,1.02
