date,minimum,maximum,range,mean,std
2025-04-23,3.770709,3.845659,0.074952,3.80409,0.018
2025-04-24,4.11485,4.21258,0.097726,4.155409,0.020901
2025-04-25,1.843969,2.36472,0.520748,2.035029,0.121132
2025-04-26,4.001979,4.13105,0.129071,4.04074,0.030071
2025-04-27,4.601439,4.844979,0.24354,4.755839,0.058752
2025-04-28,4.80731,4.93697,0.129663,4.886459,0.031204
2025-04-29,4.37201,4.446159,0.07415,4.40498,0.018229
2025-04-30,1.05989,1.095759,0.03587,1.08263,0.006526
2025-05-01,3.394999,3.50845,0.113453,3.471019,0.028449
2025-05-02,2.27375,2.38191,0.108159,2.341909,0.018879
2025-05-05,2.59851,2.86226,0.263751,2.699179,0.066471
2025-05-07,4.09173,4.35409,0.262356,4.25364,0.063231
2025-05-10,2.31662,2.42856,0.111941,2.37525,0.022523
2025-05-14,2.829999,3.0072,0.177202,2.924489,0.042105
2025-05-15,3.79712,3.881649,0.084535,3.856389,0.019309
2025-05-16,4.67135,5.085189,0.413839,4.903009,0.099497
2025-05-17,4.34375,4.678009,0.334259,4.52811,0.080954
2025-05-18,2.578259,2.749569,0.171312,2.649319,0.028501
2025-05-19,2.928109,3.264339,0.33623,3.15315,0.08152
2025-05-20,4.001349,4.03417,0.032825,4.013949,0.007266
2025-05-21,4.073969,4.23388,0.159913,4.132639,0.0366
2025-05-22,4.333089,4.49651,0.163418,4.43441,0.037443
2025-05-23,4.98153,5.1995,0.217967,5.08956,0.053033
2025-05-24,4.819389,4.85933,0.039941,4.839139,0.008225
2025-05-25,4.48776,4.55551,0.067757,4.52541,0.013052
2025-05-26,4.19742,4.24806,0.050637,4.225979,0.009962
2025-05-27,4.951829,5.07075,0.118923,4.99907,0.026684
2025-05-28,5.137269,5.241769,0.104501,5.187029,0.019826
2025-05-29,5.38283,5.608329,0.225493,5.4972,0.049124
2025-05-30,4.931799,5.15281,0.221004,5.030889,0.044196
2025-05-31,4.90909,5.06885,0.159767,4.98425,0.031695
2025-06-01,3.50387,3.695199,0.191329,3.56673,0.047835
2025-06-02,4.491099,4.573659,0.082559,4.535709,0.015954
2025-06-03,3.176789,3.32765,0.150863,3.230249,0.034763
2025-07-06,5.628779,5.82214,0.193358,5.70869,0.032327
2025-07-07,5.86452,6.028339,0.16382,5.95337,0.031608
2025-07-08,7.072959,7.8895,0.816534,7.536109,0.186346
2025-07-09,5.46849,5.8741,0.405606,5.67536,0.077908
2025-07-10,2.58785,3.82269,1.23484,3.02356,0.278667
2025-07-11,2.353749,2.76742,0.413673,2.499399,0.098535
2025-07-12,3.64175,3.9874,0.345643,3.7692,0.070424
2025-07-13,4.391019,4.561419,0.170397,4.437469,0.037587
2025-07-14,4.592659,5.001749,0.409094,4.756319,0.096431
2025-07-15,5.793739,6.03583,0.242087,5.910719,0.051085
2025-07-16,5.53802,5.849579,0.311563,5.61944,0.065202
2025-07-18,4.047399,4.40348,0.356083,4.17292,0.085401
2025-07-19,3.76247,4.192019,0.429549,3.92668,0.096931
2025-07-20,3.938529,4.030509,0.09198,3.99409,0.01955
2025-07-21,4.442339,4.615869,0.17353,4.490859,0.041167
2025-07-22,4.53278,4.718389,0.185609,4.58545,0.042841
2025-07-23,4.610859,5.002689,0.391829,4.75852,0.090277
2025-07-25,6.27791,6.848649,0.570731,6.603449,0.132912
2025-07-26,5.979209,6.296239,0.31703,6.149139,0.069286
2025-07-28,5.678989,5.858469,0.179479,5.77355,0.033272
