date,minimum,maximum,range,mean,std
2025-04-23,3.709199,3.7883,0.079102,3.750989,0.018717
2025-04-24,3.85254,4.033269,0.18073,3.961509,0.04943
2025-04-25,2.18876,2.34751,0.158749,2.281369,0.038174
2025-04-26,4.024759,4.088439,0.063673,4.0569,0.015872
2025-04-27,4.753339,4.89505,0.141717,4.82172,0.037635
2025-04-28,4.99981,5.199419,0.199606,5.086629,0.051569
2025-04-29,4.39046,4.439909,0.049452,4.410709,0.008816
2025-04-30,1.1272,1.18182,0.05462,1.1516,0.014667
2025-05-01,3.52107,3.607539,0.086469,3.565829,0.024378
2025-05-02,2.402719,2.489599,0.086876,2.44229,0.022837
2025-05-05,2.93547,3.131839,0.196367,3.044349,0.047684
2025-05-07,4.313489,4.40603,0.092547,4.353569,0.021323
2025-05-10,2.468839,2.64612,0.177285,2.552429,0.049546
2025-05-14,3.132989,3.315099,0.182109,3.233589,0.045246
2025-05-15,3.885669,3.971889,0.086227,3.924129,0.017475
2025-05-16,4.72025,4.81574,0.095485,4.768859,0.022993
2025-05-17,4.524059,4.59461,0.070557,4.54539,0.01212
2025-05-18,2.62684,2.667619,0.04078,2.63894,0.008389
2025-05-19,3.170039,3.41508,0.245039,3.29502,0.063375
2025-05-20,3.94787,4.03727,0.089404,3.996449,0.016359
2025-05-21,4.087959,4.244379,0.156422,4.170609,0.038578
2025-05-22,4.490709,4.58888,0.098168,4.522379,0.020243
2025-05-23,4.85444,4.978539,0.124101,4.93269,0.030509
2025-05-24,4.65456,4.866529,0.211964,4.766699,0.049475
2025-05-25,4.217169,4.4661,0.248925,4.35652,0.059348
2025-05-26,4.06196,4.29295,0.230992,4.176239,0.055235
2025-05-27,4.6251,4.921669,0.296573,4.79191,0.072952
2025-05-28,4.72097,5.063139,0.342175,4.921239,0.085494
2025-05-29,5.10901,5.296889,0.187882,5.21667,0.044119
2025-05-30,4.136789,4.66448,0.527695,4.45616,0.141136
2025-05-31,4.519569,4.778329,0.258756,4.68135,0.068988
2025-06-01,3.60364,3.844749,0.241114,3.701859,0.062946
2025-06-02,4.280039,4.524459,0.244425,4.40979,0.056565
2025-06-03,3.420749,3.601399,0.180654,3.50743,0.040114
2025-07-06,5.216849,5.481579,0.264735,5.383639,0.067434
2025-07-07,5.427979,5.72837,0.300392,5.61637,0.075874
2025-07-08,7.166719,7.32348,0.156753,7.231389,0.033538
2025-07-09,4.59798,5.10895,0.510972,4.89233,0.130449
2025-07-10,2.993799,3.145659,0.151855,3.05779,0.036909
2025-07-11,2.69999,2.92527,0.225279,2.804709,0.054278
2025-07-12,3.799609,3.957609,0.158,3.869879,0.040762
2025-07-13,4.129749,4.294539,0.164789,4.23718,0.040652
2025-07-14,4.73225,4.918889,0.186645,4.83013,0.04547
2025-07-15,5.56544,5.736519,0.171077,5.66938,0.03845
2025-07-16,5.01901,5.339129,0.320115,5.218599,0.078658
2025-07-18,4.06898,4.21883,0.149844,4.155459,0.034917
2025-07-19,3.87484,3.91207,0.037237,3.898809,0.008897
2025-07-20,3.77602,3.89984,0.12382,3.859519,0.030395
2025-07-21,4.30409,4.41794,0.113844,4.379489,0.026989
2025-07-22,4.21922,4.453559,0.234338,4.36533,0.057708
2025-07-23,4.7533,4.86213,0.108833,4.81186,0.0266
2025-07-25,6.300539,6.41856,0.118014,6.34743,0.025838
2025-07-26,5.894599,6.00222,0.107628,5.9615,0.021101
2025-07-28,5.426829,5.624859,0.198021,5.55663,0.048695
2025-07-29,6.68449,6.91128,0.226794,6.774899,0.05105
2025-07-30,6.095029,6.18901,0.093979,6.137529,0.019412
2025-07-31,5.566279,5.6085,0.042223,5.58369,0.011052
2025-08-01,4.81123,5.096139,0.284915,4.981649,0.072135
2025-08-02,4.749219,5.125279,0.376058,4.97656,0.101014
2025-08-03,5.54462,5.81297,0.268346,5.664529,0.061083
2025-08-04,5.049499,5.24204,0.192534,5.153059,0.043647
2025-08-05,5.20731,5.32461,0.117306,5.27323,0.027117
2025-08-06,4.66436,4.905499,0.241147,4.81337,0.061513
2025-08-07,3.630569,4.20696,0.57639,3.97828,0.154398
2025-08-08,3.95947,4.41438,0.45491,4.233439,0.12266
2025-08-09,4.455679,4.787849,0.332165,4.662099,0.088195
2025-08-10,4.93049,5.171179,0.240685,5.082739,0.062197
2025-08-11,4.33225,4.639949,0.307696,4.5184,0.079408
2025-08-12,2.96703,3.231719,0.264688,3.12993,0.069953
2025-08-13,4.449969,4.674149,0.224179,4.58428,0.056475
2025-08-18,4.130249,4.29647,0.166217,4.23037,0.039839
2025-08-19,4.05737,4.20345,0.146083,4.13729,0.034556
2025-08-20,4.15632,4.24935,0.093032,4.20755,0.022049
2025-08-21,4.03844,4.10404,0.065601,4.08118,0.014638
2025-08-22,4.68132,4.81217,0.130845,4.745649,0.027907
2025-08-23,4.269489,4.50822,0.238728,4.413099,0.060058
2025-08-24,3.62346,3.82396,0.200497,3.747009,0.049321
2025-08-25,3.46234,3.76283,0.300491,3.6387,0.079612
2025-08-26,3.99727,4.13451,0.137242,4.079259,0.033323
2025-08-28,3.54797,3.57992,0.031941,3.56468,0.009216
2025-08-29,2.75109,2.916429,0.165337,2.857209,0.041919
2025-08-30,3.08067,3.14187,0.061208,3.11946,0.014276
2025-08-31,2.92439,2.99442,0.070022,2.95724,0.017368
2025-09-01,3.05011,3.14825,0.09814,3.09517,0.026306
2025-09-02,2.438849,2.46317,0.024321,2.44878,0.005392
2025-09-03,1.941849,2.02514,0.083283,1.98123,0.020956
2025-09-04,2.992969,3.08697,0.094001,3.042659,0.023539
2025-09-05,3.757709,3.81094,0.053224,3.78952,0.011588
2025-09-06,3.245239,3.40033,0.155082,3.33607,0.039375
2025-09-07,2.606849,2.75827,0.151417,2.687279,0.037029
2025-09-08,3.5202,3.608319,0.088115,3.567509,0.020582
2025-09-09,2.701479,2.79201,0.090538,2.7381,0.022263
2025-09-11,1.780769,1.80341,0.022634,1.79214,0.0062
2025-09-13,3.00564,3.03115,0.025504,3.02021,0.006154
2025-09-14,2.807859,2.888979,0.081122,2.85168,0.019514
2025-09-15,3.1779,3.23565,0.057743,3.210979,0.013689
2025-09-16,3.596019,3.668979,0.072962,3.627099,0.016142
2025-09-17,3.1635,3.32114,0.157637,3.26109,0.041325
2025-09-18,2.784219,2.934119,0.149901,2.870249,0.038339
2025-09-19,3.141129,3.22492,0.083796,3.19882,0.019339
