date,mean
2025-10-28,1.56
2025-10-29,1.62
2025-10-30,1.63
2025-10-31,2.1
2025-11-01,1.32
2025-11-02,1.72
2025-11-03,1.76
2025-11-04,1.68
2025-11-05,1.92
2025-11-06,1.53
2025-11-07,1.53
2025-11-08,1.37
2025-11-09,1.09
2025-11-10,1.1
2025-11-11,1.35
2025-11-12,1.55
2025-11-13,1.55
2025-11-14,0.89
2025-11-15,0.9
2025-11-16,0.9
2025-11-17,0.91
2025-11-18,1.46
2025-11-19,0.95
2025-11-20,1.13
2025-11-21,1.41
2025-11-22,1.21
2025-11-23,1.02
2025-11-24,0.81
2025-11-25,1.45
2025-11-26,1.13
2025-11-27,1.1
2025-11-28,0.88
2025-11-29,0.83
2025-11-30,1.42
2025-12-01,1.13
2025-12-02,1.13
2025-12-03,0.89
2025-12-04,1.13
2025-12-05,0.81
2025-12-06,1.14
2025-12-07,0.96
2025-12-08,1.04
2025-12-09,0.84
2025-12-10,0.71
2025-12-11,0.85
