date,minimum,maximum,range,mean,std
2025-04-23,3.750509,3.797209,0.046704,3.77039,0.011526
2025-04-24,3.56522,4.00646,0.441233,3.84044,0.10429
2025-04-25,2.292649,2.682699,0.390049,2.46881,0.094324
2025-04-26,3.834539,3.927259,0.092723,3.88751,0.022456
2025-04-27,4.720759,4.834559,0.113794,4.771019,0.027114
2025-04-28,5.016099,5.31954,0.303445,5.147299,0.070991
2025-04-29,4.089119,4.292689,0.203578,4.23191,0.048849
2025-04-30,1.213799,1.31417,0.100371,1.261369,0.024026
2025-05-01,3.9202,4.154729,0.234531,3.998729,0.053356
2025-05-02,2.63384,2.990979,0.35714,2.77128,0.083336
2025-05-05,2.39786,3.019629,0.621773,2.666729,0.147703
2025-05-07,3.93663,4.41515,0.478513,4.150209,0.1133
2025-05-10,3.312439,3.45753,0.145097,3.36328,0.0308
2025-05-14,3.61412,3.938349,0.324223,3.73267,0.074854
2025-05-15,4.04826,4.247729,0.199467,4.1522,0.05188
2025-05-16,4.78773,4.809579,0.021857,4.7985,0.00514
2025-05-17,4.771639,4.992459,0.220825,4.85858,0.051214
2025-05-18,2.386169,2.677299,0.291126,2.523169,0.069593
2025-05-19,3.568,3.668279,0.100276,3.60911,0.019926
2025-05-20,4.12154,4.262549,0.141011,4.190569,0.034964
2025-05-21,4.351729,4.45974,0.108014,4.39789,0.025797
2025-05-22,4.107659,4.34625,0.238589,4.2262,0.058004
2025-05-23,4.756939,4.84768,0.090745,4.80912,0.020816
2025-05-24,4.930419,5.103209,0.172793,5.036849,0.039469
2025-05-25,4.3147,4.41542,0.100713,4.382349,0.023314
2025-05-26,3.96864,4.00317,0.034537,3.99106,0.006389
2025-05-27,4.60153,4.76945,0.167914,4.7126,0.039712
2025-05-28,4.759119,4.88289,0.123768,4.840829,0.024741
2025-05-29,5.247429,5.408209,0.160776,5.348,0.032375
2025-05-30,4.05343,4.656799,0.603374,4.426909,0.142498
2025-05-31,4.2821,4.63319,0.351092,4.518789,0.082171
2025-06-01,3.067559,3.293849,0.226291,3.18453,0.055481
2025-06-02,4.063549,4.13873,0.075176,4.104119,0.018679
2025-06-03,3.48723,3.80678,0.31955,3.637809,0.08068
2025-07-06,4.946829,5.28875,0.341928,5.172349,0.080728
2025-07-07,4.833869,5.15144,0.317571,5.052569,0.072402
2025-07-08,7.011149,7.06896,0.05781,7.04579,0.01119
2025-07-09,4.794139,5.055729,0.261593,4.971889,0.060173
2025-07-10,4.167029,4.24311,0.076076,4.20337,0.019106
2025-07-11,2.25534,2.607219,0.35188,2.41417,0.083648
2025-07-12,2.988329,3.785419,0.797092,3.356839,0.190387
2025-07-13,4.558879,4.77892,0.220038,4.66411,0.052347
2025-07-14,4.860189,5.03798,0.17779,4.95862,0.044087
2025-07-15,5.51453,5.657239,0.142712,5.601029,0.033839
2025-07-16,5.008979,5.37754,0.368559,5.24485,0.086483
2025-07-18,4.4663,4.63562,0.169326,4.551539,0.040803
2025-07-19,4.3006,4.640669,0.340061,4.464739,0.081297
2025-07-20,4.11491,4.676129,0.561222,4.36345,0.132478
2025-07-21,4.814249,4.94144,0.127196,4.88804,0.032288
2025-07-22,4.77931,4.83825,0.058938,4.81159,0.012331
2025-07-23,4.604619,4.84412,0.239503,4.725049,0.058135
2025-07-25,6.636899,6.87963,0.242732,6.772049,0.058169
2025-07-26,5.83675,5.954239,0.117485,5.89889,0.023504
2025-07-28,5.043769,5.20125,0.157482,5.151309,0.030625
2025-07-29,7.059609,7.69953,0.639927,7.37687,0.159782
2025-07-30,6.592649,6.765979,0.173333,6.686419,0.042741
2025-07-31,5.532929,5.6501,0.117165,5.59249,0.02421
2025-08-01,4.77332,4.91937,0.146057,4.87157,0.028953
2025-08-02,4.678639,4.992099,0.313466,4.88847,0.068654
2025-08-03,5.63703,5.74736,0.110327,5.692659,0.022851
2025-08-04,5.393149,5.54577,0.152619,5.47024,0.031963
2025-08-05,5.02505,5.144929,0.119874,5.099639,0.022455
2025-08-06,4.805729,4.898869,0.093145,4.86484,0.017515
2025-08-07,3.86841,3.974529,0.106118,3.92718,0.021573
2025-08-08,4.02608,4.33121,0.30513,4.234079,0.067732
2025-08-09,4.481589,4.810639,0.329046,4.70343,0.074847
2025-08-10,5.092299,5.32273,0.230426,5.24614,0.049181
2025-08-11,4.11953,4.69117,0.571636,4.503349,0.134785
2025-08-12,4.14856,4.405749,0.257191,4.309199,0.056737
2025-08-13,4.291649,4.578279,0.286633,4.48152,0.059721
2025-08-18,4.267079,4.348199,0.081116,4.31508,0.015911
2025-08-19,4.356369,4.501709,0.145338,4.44779,0.030912
2025-08-20,4.3736,4.46105,0.087452,4.424449,0.017906
2025-08-21,4.155779,4.250879,0.095099,4.213679,0.018795
2025-08-22,4.47297,4.55164,0.078662,4.52016,0.01482
2025-08-23,4.11946,4.203599,0.084135,4.173289,0.015944
2025-08-24,3.829509,3.97895,0.149441,3.92686,0.031554
2025-08-25,3.494479,3.902009,0.407537,3.75833,0.096229
2025-08-26,3.936189,4.200729,0.264539,4.112299,0.057916
2025-08-28,3.977509,4.228819,0.251314,4.096459,0.059859
2025-08-29,3.378449,3.47581,0.097363,3.43792,0.020598
2025-08-30,3.500679,3.72965,0.228975,3.612989,0.054899
