date,minimum,maximum,range,mean,std
2025-04-23,3.8912,4.02823,0.137033,3.948709,0.036306
2025-04-24,4.30771,4.48702,0.179306,4.386069,0.045156
2025-04-25,2.48019,2.970979,0.490786,2.7053,0.104551
2025-04-26,4.154089,4.41867,0.264578,4.285639,0.066358
2025-04-27,4.78067,4.95652,0.175854,4.839019,0.035636
2025-04-28,4.77181,4.87196,0.100147,4.818809,0.02085
2025-04-29,4.062059,4.31186,0.249801,4.14468,0.043593
2025-04-30,1.09341,1.24855,0.155135,1.16559,0.0444
2025-05-01,3.321599,3.587069,0.265464,3.454979,0.0654
2025-05-02,2.199559,2.43206,0.232499,2.325589,0.053555
2025-05-05,2.70282,2.99825,0.295426,2.854089,0.064773
2025-05-07,3.966459,4.082099,0.115638,4.026979,0.026033
2025-05-10,2.861409,3.231529,0.370115,3.053349,0.098475
2025-05-14,3.471699,3.65405,0.182353,3.548429,0.050458
2025-05-15,4.00719,4.2118,0.204614,4.1041,0.056632
2025-05-16,4.833129,5.00773,0.174603,4.888219,0.03504
2025-05-17,4.554749,4.723509,0.168759,4.616399,0.043936
2025-05-18,2.84938,3.29362,0.44424,3.06117,0.096119
2025-05-19,2.840889,3.28238,0.441491,3.0861,0.113012
2025-05-20,4.19852,4.436359,0.237839,4.29434,0.055352
2025-05-21,4.427199,4.59529,0.168086,4.503809,0.041466
2025-05-22,4.34064,4.52009,0.179454,4.4169,0.044697
2025-05-23,5.226069,5.47414,0.248065,5.35198,0.062613
2025-05-24,5.28306,5.49413,0.211064,5.363619,0.045355
2025-05-25,4.764359,5.091259,0.326898,4.92558,0.079388
2025-05-26,4.3796,4.738399,0.358799,4.562719,0.082638
2025-05-27,5.10899,5.36148,0.25249,5.229959,0.064119
2025-05-28,5.308239,5.562449,0.254209,5.438469,0.066072
2025-05-29,5.83262,6.07423,0.241604,5.942389,0.056636
2025-05-30,5.137489,5.45235,0.314855,5.293759,0.085721
2025-05-31,5.304619,5.815919,0.511291,5.5717,0.124688
2025-06-01,3.70829,4.315999,0.607711,4.02325,0.140018
2025-06-02,4.39544,4.753419,0.357982,4.576879,0.083642
2025-06-03,3.01164,3.45372,0.442079,3.276639,0.104324
2025-07-06,5.941249,6.44597,0.504714,6.19078,0.117319
2025-07-07,6.04397,6.726689,0.682721,6.38353,0.170295
2025-07-08,7.4597,7.913179,0.453482,7.596739,0.092147
2025-07-09,5.8659,6.53656,0.67066,6.188389,0.17092
2025-07-10,4.77997,5.25738,0.477411,4.98532,0.123687
2025-07-11,2.519779,2.70318,0.183401,2.607549,0.044792
