date,minimum,maximum,range,mean,std
2025-04-23,4.93486,5.418809,0.483952,5.08607,0.094807
2025-04-24,5.17426,5.55482,0.380558,5.291029,0.073878
2025-04-25,4.05413,4.397669,0.343529,4.16409,0.061613
2025-04-26,4.78664,5.48176,0.695118,5.00221,0.136374
2025-04-27,5.184559,5.378799,0.19424,5.2477,0.037836
2025-04-28,5.348239,5.591879,0.243632,5.44606,0.049318
2025-04-29,3.058259,3.34481,0.28655,3.16457,0.051618
2025-04-30,3.765019,4.02825,0.263229,3.855509,0.047012
2025-05-01,4.285019,4.49065,0.205627,4.35646,0.037308
2025-05-02,3.25479,3.63013,0.375344,3.391309,0.0686
2025-05-05,3.587879,3.985219,0.397336,3.723579,0.071768
2025-05-07,4.06222,4.54642,0.484194,4.208759,0.093743
2025-05-10,4.200339,4.64364,0.443304,4.34033,0.085839
2025-05-14,4.671929,5.327139,0.655203,4.86942,0.127461
2025-05-15,4.766139,5.481579,0.715439,4.997519,0.139396
2025-05-16,4.977859,5.328879,0.351016,5.10126,0.070343
2025-05-17,5.2824,5.35403,0.071629,5.31652,0.01807
2025-05-18,4.695129,4.906469,0.211339,4.7792,0.043766
2025-05-19,4.805389,5.533209,0.727823,5.01808,0.140514
2025-05-20,5.726719,6.759049,1.03232,6.03477,0.200172
2025-05-21,5.683,6.328649,0.645646,5.929359,0.131053
2025-05-22,6.180459,6.762619,0.582152,6.349929,0.114068
2025-05-23,6.02988,6.069139,0.039269,6.050039,0.007471
2025-05-24,5.50852,5.55985,0.051321,5.529409,0.014073
2025-05-25,6.25601,6.3062,0.050197,6.270959,0.012795
2025-05-26,6.28135,6.328619,0.047269,6.30733,0.011826
2025-05-27,5.902609,5.990509,0.087904,5.94631,0.020628
2025-05-28,6.304999,6.57209,0.267091,6.44008,0.060474
2025-05-29,7.721449,8.205539,0.484093,7.882649,0.091114
2025-05-30,7.62291,8.00456,0.381651,7.72262,0.070797
2025-05-31,6.062449,6.333459,0.271007,6.201489,0.068173
2025-06-01,4.738759,5.4372,0.698431,5.22453,0.127456
2025-06-02,5.104169,5.204949,0.100776,5.142829,0.023659
2025-06-03,4.85226,5.80318,0.950922,5.1605,0.18624
2025-07-06,6.22379,6.45334,0.229548,6.37791,0.042239
2025-07-07,6.737599,6.9702,0.232599,6.885059,0.044571
2025-07-08,4.916279,5.827209,0.910926,5.552229,0.176189
2025-07-09,5.38178,5.801859,0.42008,5.66763,0.082094
2025-07-10,5.7957,5.86217,0.06647,5.83465,0.010743
2025-07-11,3.88275,4.857979,0.975229,4.227709,0.194074
2025-07-12,4.609889,5.013519,0.403625,4.74064,0.078535
2025-07-13,5.854959,6.071149,0.216186,5.92949,0.043199
2025-07-14,6.577,6.82199,0.244993,6.670899,0.052411
2025-07-15,6.92559,7.12409,0.198501,7.065979,0.037447
2025-07-16,7.169569,7.49525,0.325681,7.37958,0.062766
2025-07-18,6.34376,7.49756,1.1538,6.694349,0.224644
2025-07-19,6.326389,7.107049,0.780655,6.575359,0.15309
2025-07-20,4.886799,6.035369,1.148569,5.248239,0.22393
2025-07-21,6.34168,7.17042,0.828745,6.61532,0.162763
2025-07-22,6.659599,6.764039,0.104446,6.70658,0.027328
2025-07-23,6.505189,7.4628,0.957614,6.786119,0.185789
2025-07-25,7.23253,7.372489,0.13996,7.31007,0.029241
2025-07-26,6.82241,6.87467,0.052265,6.845489,0.013484
2025-07-28,6.562329,6.9354,0.373068,6.81756,0.07178
2025-07-29,5.57446,6.10091,0.526454,5.9454,0.102168
2025-07-30,6.561669,6.67736,0.115686,6.60504,0.023571
2025-07-31,6.53595,6.64617,0.110219,6.58744,0.024809
2025-08-01,6.058559,6.218669,0.160115,6.16792,0.030817
2025-08-02,6.35261,6.42463,0.072015,6.37994,0.014913
2025-08-03,6.337379,6.521989,0.184606,6.439859,0.038738
2025-08-04,5.473519,5.66152,0.188004,5.57106,0.047198
2025-08-05,5.649489,5.827569,0.178088,5.732359,0.045044
2025-08-06,5.35721,5.47867,0.121457,5.424389,0.024391
2025-08-07,5.31743,5.50282,0.185387,5.43376,0.035654
2025-08-08,5.195819,5.460249,0.264425,5.38385,0.051098
2025-08-09,5.354239,5.64407,0.289826,5.53385,0.052628
2025-08-10,6.42256,6.604279,0.181724,6.505599,0.044627
2025-08-11,7.508339,7.77085,0.262513,7.672669,0.052277
2025-08-12,7.672329,7.86145,0.189126,7.75119,0.042223
2025-08-13,6.961939,7.370269,0.408322,7.207149,0.080001
2025-08-18,6.85254,7.494289,0.641757,7.02815,0.125594
2025-08-19,5.931089,6.760809,0.829725,6.21358,0.164105
2025-08-20,5.58468,6.610499,1.02582,5.93065,0.20173
2025-08-21,6.08925,6.31537,0.226117,6.173389,0.039404
2025-08-22,5.231739,5.370779,0.139038,5.33228,0.026519
2025-08-23,4.62229,4.846059,0.223774,4.77113,0.044842
