date,minimum,maximum,range,mean,std
2025-04-23,5.712359,5.942269,0.229907,5.81893,0.06663
2025-04-24,5.469449,5.53702,0.067574,5.496479,0.021
2025-04-25,4.900109,5.21033,0.310216,5.04962,0.087942
2025-04-26,5.98673,6.309599,0.322874,6.139659,0.09246
2025-04-27,5.382629,5.42816,0.04553,5.40142,0.01409
2025-04-28,5.629089,5.66864,0.039551,5.647009,0.011795
2025-04-29,3.31995,3.37746,0.057516,3.342339,0.018262
2025-04-30,3.780309,3.811009,0.030696,3.79674,0.005807
2025-05-01,4.172019,4.25255,0.080525,4.21034,0.02184
2025-05-02,3.826539,3.97495,0.148413,3.89471,0.04321
2025-05-05,3.778229,3.808599,0.03037,3.79411,0.007923
2025-05-07,4.491179,4.566669,0.075484,4.52081,0.023777
2025-05-10,4.5025,4.528649,0.026157,4.514659,0.007009
2025-05-14,5.88802,6.306099,0.418078,6.08088,0.121982
2025-05-15,5.873859,6.141059,0.267201,5.997489,0.077503
2025-05-16,6.00813,6.33989,0.331757,6.16931,0.093617
2025-05-17,6.083559,6.39116,0.307601,6.236969,0.08556
2025-05-18,5.186369,5.296889,0.110526,5.242169,0.030474
2025-05-19,4.644209,4.837029,0.19282,4.73115,0.05097
2025-05-20,7.14095,7.53633,0.395375,7.319029,0.117023
2025-05-21,7.69946,8.398929,0.699476,8.03913,0.198364
2025-05-22,7.997849,8.688449,0.690598,8.32833,0.196871
2025-05-23,6.272779,6.29687,0.024085,6.28761,0.004916
2025-05-24,5.30417,5.42431,0.120144,5.37088,0.035988
2025-05-25,6.54649,6.676219,0.12973,6.611239,0.035963
2025-05-26,6.3982,6.498859,0.100657,6.44108,0.027042
2025-05-27,7.23993,7.832859,0.592926,7.532629,0.166724
2025-05-28,6.83574,6.927259,0.091527,6.881569,0.025164
2025-05-29,7.42362,7.58394,0.160321,7.49591,0.042151
2025-05-30,7.707139,7.73842,0.03128,7.723869,0.008012
2025-05-31,6.501989,6.54812,0.04613,6.523069,0.01202
2025-06-01,5.497839,5.58125,0.08341,5.55916,0.02015
2025-06-02,4.806099,4.99404,0.187941,4.90777,0.055449
2025-06-03,6.53095,7.00435,0.473405,6.75179,0.13672
2025-07-06,6.60862,6.649059,0.040443,6.635379,0.008481
2025-07-07,7.734879,8.100259,0.365381,7.923349,0.099625
2025-07-08,4.29602,4.730289,0.434269,4.54396,0.13244
2025-07-09,5.52501,5.637129,0.112116,5.5864,0.031608
2025-07-10,6.652599,6.94242,0.289815,6.803659,0.078449
2025-07-11,6.1377,6.79958,0.661881,6.45656,0.187822
2025-07-12,5.79824,6.207509,0.409278,5.995769,0.116214
2025-07-13,7.03379,7.438399,0.404601,7.23569,0.112499
2025-07-14,8.5499,9.317649,0.76775,8.92984,0.214683
2025-07-15,8.15248,8.63654,0.484068,8.39719,0.133698
2025-07-16,7.815589,8.005479,0.189888,7.918449,0.050262
2025-07-18,8.744799,9.5249,0.780103,9.111439,0.224847
2025-07-19,8.412449,9.07954,0.667083,8.734519,0.189125
2025-07-20,7.16303,7.857699,0.694675,7.489419,0.200371
2025-07-21,8.379179,9.000809,0.621627,8.678609,0.176413
2025-07-22,8.1862,8.72511,0.538914,8.46043,0.147993
2025-07-23,8.260729,8.86952,0.608789,8.54108,0.177296
2025-07-25,7.101669,7.15256,0.050895,7.128159,0.014326
