date,mean
2025-10-28,1.4
2025-10-29,1.57
2025-10-30,1.6
2025-10-31,1.13
2025-11-01,1.38
2025-11-02,1.69
2025-11-03,1.51
2025-11-04,1.73
2025-11-05,2.18
2025-11-06,1.68
2025-11-07,1.68
2025-11-08,1.53
2025-11-09,1.3
2025-11-10,1.38
2025-11-11,1.54
2025-11-12,1.36
2025-11-13,1.36
2025-11-14,1.36
2025-11-15,1.35
2025-11-16,1.35
2025-11-17,1.22
2025-11-18,1.53
2025-11-19,1.47
2025-11-20,1.85
2025-11-21,2.17
2025-11-22,1.57
2025-11-23,1
2025-11-24,0.99
2025-11-25,1.69
2025-11-26,1.51
2025-11-27,1.46
2025-11-28,1.06
2025-11-29,1.01
2025-11-30,1.64
2025-12-01,1.31
2025-12-02,1.31
2025-12-03,1.24
2025-12-04,1.11
2025-12-05,0.85
2025-12-06,0.95
2025-12-07,0.88
2025-12-08,1.08
2025-12-09,0.72
2025-12-10,1.09
2025-12-11,0.83
2025-12-12,0.51
2025-12-13,1.34
2025-12-14,1.41
2025-12-15,0.79
2025-12-16,1.6
2025-12-17,1.15
2025-12-18,0.9
2025-12-19,1.25
2025-12-20,0.88
2025-12-21,0.93
2025-12-22,0.89
2025-12-23,0.87
