date,mean
2025-10-28,1.97
2025-10-29,1.89
2025-10-30,1.81
2025-10-31,2.17
2025-11-01,1.43
2025-11-02,1.87
2025-11-03,1.96
2025-11-04,2.35
2025-11-05,2.37
2025-11-06,1.83
2025-11-07,1.83
2025-11-08,1.62
2025-11-09,1.43
2025-11-10,1.38
2025-11-11,1.8
2025-11-12,1.72
2025-11-13,1.72
2025-11-14,1.36
2025-11-15,1.23
2025-11-16,1.23
2025-11-17,1.31
2025-11-18,1.49
2025-11-19,1.32
2025-11-20,1.56
2025-11-21,1.81
2025-11-22,1.51
2025-11-23,1.17
2025-11-24,1.07
2025-11-25,1.82
2025-11-26,1.44
2025-11-27,1.32
2025-11-28,1.13
2025-11-29,0.9
2025-11-30,1.57
2025-12-01,1.2
2025-12-02,1.2
