date,mean
2025-10-28,1.72
2025-10-29,2.03
2025-10-30,1.78
2025-10-31,2.23
2025-11-01,1.54
2025-11-02,2.37
2025-11-03,2.17
2025-11-04,2.4
2025-11-05,3.05
2025-11-06,1.87
2025-11-07,1.87
2025-11-08,2.15
2025-11-09,1.62
2025-11-10,1.37
2025-11-11,2.12
2025-11-12,2.36
2025-11-13,2.36
2025-11-14,1.36
2025-11-15,0.87
2025-11-16,0.87
2025-11-17,1.67
2025-11-18,1.69
2025-11-19,1.44
2025-11-20,1.75
2025-11-21,2
2025-11-22,1.85
2025-11-23,1.5
2025-11-24,1.16
2025-11-25,2.13
2025-11-26,1.54
2025-11-27,1.43
2025-11-28,1.34
2025-11-29,0.91
2025-11-30,1.5
2025-12-01,1.21
2025-12-02,1.21
2025-12-03,1.43
2025-12-04,1.17
2025-12-05,0.99
2025-12-06,0.89
2025-12-07,1.09
2025-12-08,1.45
2025-12-09,1.16
2025-12-10,0.77
2025-12-11,0.82
2025-12-12,0.49
2025-12-13,1.43
2025-12-14,1.19
2025-12-15,0.79
2025-12-16,1.26
2025-12-17,1.15
2025-12-18,1.02
2025-12-19,0.83
2025-12-20,1.12
2025-12-21,0.96
2025-12-22,1.06
2025-12-23,1.02
2025-12-24,0.9
2025-12-25,0.99
2025-12-26,0.95
2025-12-27,0.71
2025-12-28,1.07
2025-12-29,0.92
2025-12-30,0.79
2025-12-31,0.93
