date,mean
2025-10-28,1.75
2025-10-29,2.07
2025-10-30,1.76
2025-10-31,2.42
2025-11-01,1.58
2025-11-02,2.18
2025-11-03,2.21
2025-11-04,2.26
2025-11-05,2.63
2025-11-06,1.86
2025-11-07,1.86
2025-11-08,1.97
2025-11-09,1.5
2025-11-10,1.4
2025-11-11,2.06
2025-11-12,2.37
2025-11-13,2.37
2025-11-14,1.15
2025-11-15,0.95
2025-11-16,0.95
2025-11-17,1.36
2025-11-18,1.71
2025-11-19,1.18
2025-11-20,1.66
2025-11-21,1.82
2025-11-22,1.53
2025-11-23,1.35
2025-11-24,0.92
2025-11-25,1.88
2025-11-26,1.49
2025-11-27,1.4
2025-11-28,1.28
2025-11-29,0.89
2025-11-30,1.5
2025-12-01,1.32
2025-12-02,1.32
2025-12-03,1.41
2025-12-04,1.21
2025-12-05,0.84
2025-12-06,0.94
2025-12-07,1.04
2025-12-08,1.35
2025-12-09,1
2025-12-10,0.78
2025-12-11,0.8
2025-12-12,0.47
2025-12-13,1.33
2025-12-14,1.26
2025-12-15,0.71
2025-12-16,1.04
2025-12-17,1.17
2025-12-18,0.99
2025-12-19,0.75
2025-12-20,1.04
2025-12-21,0.92
2025-12-22,0.97
2025-12-23,0.93
2025-12-24,0.82
2025-12-25,0.95
2025-12-26,0.89
2025-12-27,0.79
2025-12-28,0.97
2025-12-29,0.84
2025-12-30,0.78
2025-12-31,0.76
2026-01-01,0.65
2026-01-02,1.57
2026-01-03,0.65
2026-01-04,1.17
2026-01-05,1.44
2026-01-06,1.6
2026-01-07,0.62
2026-01-08,0.62
2026-01-09,1.24
2026-01-10,0.97
2026-01-11,0.63
2026-01-12,0.95
2026-01-13,0.93
2026-01-14,0.91
2026-01-15,0.79
2026-01-16,0.73
2026-01-17,1.01
2026-01-18,1.15
2026-01-19,1.52
2026-01-20,1.1
2026-01-21,0.9
2026-01-22,1.04
2026-01-23,1.27
2026-01-24,1.22
2026-01-25,1.11
2026-01-26,0.96
2026-01-27,1.63
2026-01-28,1.58
2026-01-29,0.56
2026-01-30,1.17
2026-01-31,1.57
2026-02-01,0.72
2026-02-02,1.61
2026-02-03,1.13
2026-02-04,0.67
2026-02-05,1.77
2026-02-06,1.62
2026-02-07,1.49
2026-02-08,1.5
2026-02-09,0.61
2026-02-10,0.69
2026-02-11,0.89
2026-02-12,1.87
2026-02-13,1.66
2026-02-14,2.59
2026-02-15,1.44
2026-02-16,1.52
2026-02-17,1.12
2026-02-18,1.32
2026-02-19,2.05
2026-02-20,2.23
2026-02-21,2.54
2026-02-22,2.6
2026-02-23,2.8
2026-02-24,2.95
2026-02-25,2.97
2026-02-26,2.68
2026-02-27,2.13
2026-02-28,2.62
2026-03-01,2.31
2026-03-02,1.68
2026-03-03,2.74
2026-03-04,2.15
2026-03-05,1.42
2026-03-06,1.81
2026-03-07,2.21
2026-03-08,2.65
2026-03-09,1.51
2026-03-10,1.97
2026-03-11,2.69
2026-03-12,3.07
2026-03-13,3.04
2026-03-14,2.32
2026-03-15,3.55
2026-03-16,3.73
2026-03-17,3.93
2026-03-18,2.68
2026-03-19,1.98
2026-03-20,1.2
2026-03-21,2.03
2026-03-22,2.63
2026-03-23,3.26
2026-03-24,3.32
2026-03-25,3.23
2026-03-26,4.19
2026-03-27,4.07
2026-03-28,4.24
2026-03-29,4.56
2026-03-30,4.11
2026-03-31,4.68
2026-04-01,4.68
2026-04-02,4.69
2026-04-03,4.42
2026-04-04,4.59
2026-04-05,4.92
2026-04-06,3.63
2026-04-07,2.71
2026-04-08,2.98
2026-04-09,3.61
2026-04-10,3.97
2026-04-11,3.51
2026-04-12,4.98
2026-04-13,2.63
2026-04-14,3.54
2026-04-15,4.48
2026-04-16,4.44
2026-04-17,5.1
2026-04-18,5.47
2026-04-19,5.33
2026-04-20,5.04
2026-04-21,5.18
2026-04-22,4.16
2026-04-23,4.41
2026-04-24,4.5
2026-04-25,4.37
2026-04-26,4.9
2026-04-27,5.07
2026-04-28,4.52
2026-04-29,3.11
