date,mean
2025-10-28,1.75
2025-10-29,2.07
2025-10-30,1.76
2025-10-31,2.42
2025-11-01,1.58
2025-11-02,2.18
2025-11-03,2.21
2025-11-04,2.26
2025-11-05,2.63
2025-11-06,1.86
2025-11-07,1.86
2025-11-08,1.97
2025-11-09,1.5
2025-11-10,1.4
2025-11-11,2.06
2025-11-12,2.37
2025-11-13,2.37
2025-11-14,1.15
2025-11-15,0.95
2025-11-16,0.95
2025-11-17,1.36
2025-11-18,1.71
2025-11-19,1.18
2025-11-20,1.66
2025-11-21,1.82
2025-11-22,1.53
2025-11-23,1.35
2025-11-24,0.92
2025-11-25,1.88
2025-11-26,1.49
2025-11-27,1.4
2025-11-28,1.28
2025-11-29,0.89
2025-11-30,1.5
2025-12-01,1.32
2025-12-02,1.32
2025-12-03,1.41
2025-12-04,1.21
2025-12-05,0.84
2025-12-06,0.94
2025-12-07,1.04
2025-12-08,1.35
2025-12-09,1
2025-12-10,0.78
2025-12-11,0.8
2025-12-12,0.47
2025-12-13,1.33
2025-12-14,1.26
2025-12-15,0.71
2025-12-16,1.04
2025-12-17,1.17
2025-12-18,0.99
2025-12-19,0.75
2025-12-20,1.04
2025-12-21,0.92
2025-12-22,0.97
2025-12-23,0.93
2025-12-24,0.82
2025-12-25,0.95
2025-12-26,0.89
2025-12-27,0.79
2025-12-28,0.97
2025-12-29,0.84
2025-12-30,0.78
2025-12-31,0.76
2026-01-01,0.65
2026-01-02,1.57
2026-01-03,0.65
2026-01-04,1.17
2026-01-05,1.44
2026-01-06,1.6
2026-01-07,0.62
2026-01-08,0.62
2026-01-09,1.24
2026-01-10,0.97
2026-01-11,0.63
2026-01-12,0.95
