date,minimum,maximum,range,mean,std
2025-04-23,4.45868,4.61211,0.153429,4.52074,0.032637
2025-04-24,4.91121,5.04861,0.137401,4.972869,0.02762
2025-04-25,3.657279,3.998369,0.341095,3.854899,0.075056
2025-04-26,4.772649,4.90738,0.134727,4.838119,0.031039
2025-04-27,5.038869,5.21782,0.178955,5.100249,0.038353
2025-04-28,5.103499,5.17603,0.072535,5.13676,0.015941
2025-04-29,3.74989,4.070419,0.320524,3.959909,0.070356
2025-04-30,1.412989,1.643319,0.230334,1.536149,0.050358
2025-05-01,3.621439,3.76388,0.142432,3.71668,0.030147
2025-05-02,2.242539,2.461819,0.219282,2.365629,0.049463
2025-05-05,3.063189,3.339999,0.2768,3.21071,0.05323
2025-05-07,3.831199,4.056119,0.224915,3.954099,0.048655
2025-05-10,3.553999,3.679539,0.125533,3.61328,0.027472
2025-05-14,4.397399,4.558149,0.160753,4.492469,0.040835
2025-05-15,4.77669,5.08056,0.303869,4.91309,0.080486
2025-05-16,4.86981,5.114999,0.245186,4.98387,0.060803
2025-05-17,5.20592,5.327879,0.121964,5.261209,0.036165
2025-05-18,3.62524,4.080989,0.455747,3.854559,0.111395
2025-05-19,3.81521,4.011469,0.196264,3.93244,0.053797
2025-05-20,4.982389,5.124579,0.142183,5.05271,0.041089
2025-05-21,5.151539,5.317399,0.165857,5.242579,0.047287
2025-05-22,5.310929,5.431399,0.120471,5.388909,0.031779
2025-05-23,5.984379,6.19283,0.208455,6.083199,0.055165
2025-05-24,5.81918,6.122809,0.303622,5.96571,0.072758
2025-05-25,5.623419,5.89271,0.269288,5.76768,0.06049
2025-05-26,5.43305,5.75113,0.318071,5.59661,0.069207
2025-05-27,5.730869,6.015359,0.284487,5.90175,0.064816
2025-05-28,5.906149,6.24516,0.339006,6.083809,0.083499
2025-05-29,6.511569,6.94923,0.437662,6.7135,0.106648
2025-05-30,5.88141,6.17321,0.291804,6.05059,0.066898
2025-05-31,6.28944,6.554689,0.265251,6.45098,0.058925
2025-06-01,4.95172,5.32623,0.374513,5.14551,0.103802
2025-06-02,5.264929,5.577109,0.312184,5.42457,0.065975
2025-06-03,4.133969,4.331379,0.197411,4.22172,0.04201
2025-07-06,6.890289,7.214719,0.324422,7.065539,0.071752
2025-07-07,6.57374,6.916349,0.342608,6.715,0.067326
2025-07-08,7.2501,7.726049,0.475948,7.48285,0.104082
2025-07-09,6.45023,6.748549,0.298316,6.616869,0.071088
2025-07-10,5.46851,5.928929,0.460418,5.71571,0.096502
2025-07-11,2.896339,3.0924,0.196053,3.016839,0.058586
2025-07-12,4.73774,4.947629,0.209882,4.86141,0.043818
2025-07-13,5.88978,6.13947,0.249687,6.03164,0.071032
2025-07-14,6.48143,6.6535,0.172069,6.585539,0.037171
2025-07-15,6.739439,6.95753,0.218088,6.866099,0.054143
2025-07-16,7.13135,7.48155,0.350205,7.33722,0.067915
2025-07-18,5.946579,6.293019,0.346437,6.14019,0.087797
2025-07-19,5.81544,6.140359,0.324921,6.0022,0.08075
2025-07-20,5.134469,5.349659,0.215188,5.251049,0.042773
2025-07-21,6.16898,6.31442,0.145447,6.25784,0.037275
2025-07-22,6.4481,6.7269,0.278797,6.603549,0.05733
2025-07-23,5.79848,6.0257,0.227216,5.919139,0.048259
2025-07-25,7.53838,7.81438,0.275999,7.67454,0.061259
2025-07-26,7.24373,7.359189,0.115452,7.31181,0.028591
2025-07-28,6.89444,7.157859,0.263424,7.028769,0.056039
2025-07-29,8.029299,8.458749,0.42945,8.19291,0.097513
2025-07-30,7.05174,7.368959,0.317214,7.194099,0.078343
2025-07-31,6.72129,7.13134,0.410055,6.89756,0.098933
2025-08-01,6.42948,6.8042,0.374725,6.61601,0.085115
2025-08-02,6.303339,6.48045,0.17711,6.387979,0.035354
2025-08-03,7.030829,7.229249,0.198421,7.141139,0.041594
2025-08-04,6.693709,6.822289,0.128586,6.76163,0.030249
2025-08-05,6.498829,6.77887,0.280041,6.639729,0.059744
2025-08-06,6.325469,6.604829,0.279359,6.46532,0.059632
2025-08-07,5.990139,6.257989,0.267852,6.15186,0.063536
2025-08-08,5.898149,6.109509,0.211357,6.02249,0.048584
2025-08-09,6.34632,6.571509,0.225191,6.475259,0.048657
2025-08-10,6.715129,7.067729,0.352591,6.917099,0.080345
2025-08-11,6.385479,6.684919,0.299436,6.53865,0.070743
2025-08-12,5.507919,6.0619,0.553982,5.804999,0.144924
2025-08-13,6.63312,6.873149,0.240036,6.73293,0.054997
2025-08-18,5.80562,6.04089,0.235271,5.911819,0.049945
2025-08-19,6.08749,6.300539,0.213051,6.214,0.055483
2025-08-20,5.95126,6.33021,0.378953,6.111529,0.107046
2025-08-21,5.446119,5.661029,0.214902,5.539279,0.058453
2025-08-22,5.35398,5.55635,0.202379,5.47027,0.044136
2025-08-23,5.70239,5.926219,0.223831,5.828999,0.05379
2025-08-24,5.260429,5.3789,0.11847,5.342659,0.022107
2025-08-25,5.428589,5.60222,0.173629,5.50778,0.038746
2025-08-26,5.72664,5.87236,0.145723,5.79118,0.037516
2025-08-28,5.21224,5.509389,0.297147,5.358329,0.077769
2025-08-29,4.792059,5.179719,0.387663,4.98433,0.109471
2025-08-30,4.835499,5.26382,0.428321,5.04499,0.097161
