date,minimum,maximum,range,mean,std
2025-04-23,3.81308,3.956259,0.143173,3.896519,0.032127
2025-04-24,4.12786,4.302889,0.175022,4.22099,0.040405
2025-04-25,2.24846,2.336669,0.088213,2.31024,0.013614
2025-04-26,4.08582,4.284049,0.198228,4.191899,0.045688
2025-04-27,4.49877,4.698999,0.200224,4.623109,0.046672
2025-04-28,4.601659,4.98326,0.381597,4.854109,0.090074
2025-04-29,4.29854,4.603179,0.304634,4.45133,0.069954
2025-04-30,1.09405,1.1476,0.053556,1.12757,0.012246
2025-05-01,3.38784,3.78268,0.394845,3.613549,0.092254
2025-05-02,2.2009,2.430589,0.229682,2.33504,0.055585
2025-05-05,3.151139,3.577219,0.426079,3.409329,0.101125
2025-05-07,4.127709,4.711559,0.583844,4.469069,0.135095
2025-05-10,2.130729,2.581629,0.450899,2.396729,0.104328
2025-05-14,3.11187,3.52443,0.412562,3.338439,0.098549
2025-05-15,4.003499,4.374559,0.371066,4.18202,0.090995
2025-05-16,4.538149,4.649789,0.111637,4.61287,0.022576
2025-05-17,4.381869,4.873569,0.491699,4.68404,0.115673
2025-05-18,2.543809,2.603319,0.059503,2.57726,0.013048
2025-05-19,2.69141,3.00828,0.316873,2.909229,0.076053
2025-05-20,4.10821,4.32316,0.214949,4.19392,0.051426
2025-05-21,4.37607,4.724229,0.348154,4.559329,0.081297
2025-05-22,4.45305,4.91015,0.4571,4.71138,0.107358
2025-05-23,4.878389,5.157989,0.279606,5.040239,0.063478
2025-05-24,4.8509,5.321259,0.470355,5.11905,0.107174
2025-05-25,4.437099,4.878019,0.440919,4.678689,0.100823
2025-05-26,4.375969,4.72128,0.345313,4.575119,0.080335
2025-05-27,4.968939,5.413109,0.444171,5.22547,0.101501
2025-05-28,5.148389,5.608119,0.459726,5.40843,0.106077
2025-05-29,5.162519,5.4477,0.285183,5.328289,0.065867
2025-05-30,4.979909,5.36001,0.380097,5.15846,0.087014
2025-05-31,4.79538,5.10366,0.308281,4.9608,0.070224
2025-06-01,3.860179,4.49405,0.633872,4.240459,0.147914
2025-06-02,4.66469,4.8344,0.169707,4.747049,0.04134
2025-06-03,3.671839,4.024899,0.353058,3.864619,0.085355
2025-07-06,5.51941,5.790659,0.271245,5.66999,0.062922
2025-07-07,5.8885,6.07875,0.190246,5.98083,0.046739
2025-07-08,6.64082,6.921,0.280173,6.82128,0.067442
2025-07-09,5.212719,5.291689,0.078974,5.24803,0.016963
2025-07-10,2.54816,3.820869,1.272719,3.107089,0.306118
2025-07-11,3.140399,3.597529,0.457121,3.38786,0.104497
2025-07-12,3.92967,4.48387,0.554205,4.27084,0.129032
2025-07-13,4.23674,4.387849,0.151113,4.33124,0.034252
2025-07-14,4.983409,5.407509,0.424107,5.23998,0.098247
2025-07-15,5.574389,5.899219,0.324836,5.77673,0.073972
2025-07-16,5.45051,5.589829,0.13932,5.51667,0.031198
2025-07-18,4.367539,4.449969,0.08243,4.406849,0.01974
2025-07-19,3.70087,3.77915,0.078279,3.7509,0.018578
2025-07-20,3.822139,3.9899,0.167758,3.894049,0.03887
2025-07-21,4.360429,4.485249,0.124822,4.4436,0.02713
2025-07-22,4.582389,4.763989,0.181602,4.65736,0.042785
2025-07-23,4.860549,5.09316,0.232614,4.99544,0.055693
2025-07-25,5.8487,6.334599,0.485899,6.144559,0.108613
2025-07-26,5.638289,6.14227,0.503979,5.979559,0.116954
2025-07-28,5.65029,5.850389,0.200094,5.762919,0.04763
2025-07-29,6.15035,6.261109,0.110753,6.19983,0.023808
2025-07-30,5.67145,5.87898,0.207528,5.82595,0.047607
2025-07-31,5.33861,5.650459,0.311841,5.543389,0.072681
2025-08-01,5.080299,5.403779,0.323487,5.26339,0.075559
2025-08-02,5.230169,5.37894,0.148766,5.325089,0.033721
2025-08-03,5.21208,5.716209,0.504137,5.57565,0.114084
2025-08-04,4.916669,5.350349,0.433685,5.203839,0.098432
2025-08-05,4.722129,4.982059,0.259927,4.89229,0.046143
2025-08-06,4.83748,5.179019,0.341547,5.053239,0.075983
2025-08-07,4.52809,4.6503,0.122201,4.572929,0.025921
2025-08-08,4.59659,4.683259,0.086666,4.64014,0.015549
2025-08-09,4.756599,5.263219,0.506622,5.050209,0.112627
2025-08-10,5.11354,5.527619,0.414077,5.36285,0.090815
2025-08-11,4.7308,5.28057,0.549776,5.035329,0.124257
2025-08-12,3.11824,3.267499,0.149252,3.189199,0.031995
2025-08-13,4.61455,4.86566,0.251109,4.76832,0.055473
2025-08-18,4.304249,4.676149,0.371897,4.517199,0.084455
2025-08-19,4.23295,4.620049,0.3871,4.44891,0.088164
2025-08-20,4.222899,4.51103,0.288136,4.37722,0.067307
2025-08-21,3.98284,4.312679,0.329838,4.17845,0.076139
2025-08-22,4.560599,4.81606,0.255463,4.729829,0.059714
2025-08-23,4.45688,4.762599,0.305723,4.6324,0.068583
2025-08-24,3.92504,4.055069,0.13003,3.98686,0.026884
2025-08-25,3.8559,4.007679,0.151779,3.909739,0.039714
2025-08-26,4.18936,4.39869,0.209331,4.318369,0.047539
2025-08-28,3.47387,3.509239,0.035376,3.496449,0.007319
2025-08-29,2.96612,3.044859,0.078741,2.99263,0.015731
2025-08-30,3.123049,3.176909,0.053858,3.15191,0.010541
