date,minimum,maximum,range,mean,std
2025-04-23,3.658309,3.996629,0.338319,3.83855,0.06868
2025-04-24,3.79044,4.36218,0.571743,4.073639,0.124473
2025-04-25,2.258219,2.48947,0.23125,2.372339,0.046836
2025-04-26,4.021389,4.348629,0.327241,4.17984,0.06696
2025-04-27,4.651969,4.946509,0.294537,4.774429,0.062225
2025-04-28,5.032919,5.34276,0.309843,5.12819,0.076579
2025-04-29,4.40744,4.72333,0.31589,4.53271,0.05619
2025-04-30,1.14776,1.22438,0.076622,1.18148,0.017237
2025-05-01,3.69987,3.891089,0.191222,3.75372,0.040402
2025-05-02,2.54286,2.785569,0.242719,2.643049,0.0495
2025-05-05,3.451169,3.796339,0.345171,3.619319,0.079911
2025-05-07,4.658959,5.05951,0.400552,4.78023,0.070885
2025-05-10,2.581449,2.97756,0.396108,2.72807,0.06613
2025-05-14,3.52515,3.6712,0.146045,3.575829,0.026313
2025-05-15,4.109049,4.513529,0.404487,4.248539,0.094344
2025-05-16,4.58574,4.82726,0.241514,4.741439,0.058074
2025-05-17,4.77646,4.97904,0.202585,4.85262,0.047712
2025-05-18,2.516089,2.73229,0.216196,2.61447,0.051018
2025-05-19,3.01637,3.78097,0.764599,3.35396,0.156909
2025-05-20,3.80853,4.43197,0.623436,4.115119,0.125567
2025-05-21,4.32516,4.84172,0.51656,4.52756,0.122602
2025-05-22,4.67317,5.037569,0.364398,4.82385,0.078549
2025-05-23,4.7968,5.218689,0.421887,5.030409,0.084043
2025-05-24,4.914909,5.446569,0.531664,5.1181,0.127897
2025-05-25,4.40909,5.00954,0.600441,4.64368,0.145225
2025-05-26,4.3466,4.814559,0.467965,4.5465,0.112456
2025-05-27,4.73668,5.528629,0.791951,5.11456,0.175761
2025-05-28,4.88459,5.731019,0.846426,5.276509,0.196667
2025-05-29,5.196859,5.543459,0.346599,5.31992,0.072649
2025-05-30,3.86086,5.522349,1.661489,4.684329,0.360397
2025-05-31,4.33434,5.204529,0.870186,4.78774,0.182087
2025-06-01,4.045529,4.64442,0.598896,4.33686,0.134437
2025-06-02,4.402019,4.89649,0.494468,4.644859,0.110258
2025-06-03,3.87799,4.283549,0.405559,4.05408,0.091045
2025-07-06,5.359389,5.898139,0.538742,5.58504,0.120149
2025-07-07,5.638559,6.190159,0.551598,5.92217,0.129176
2025-07-08,7.03946,7.350259,0.310797,7.18941,0.072781
2025-07-09,4.11377,5.25403,1.140259,4.76344,0.236142
2025-07-10,2.21034,2.980079,0.769738,2.68084,0.178288
2025-07-11,3.21546,3.75599,0.540525,3.46602,0.113646
2025-07-12,4.154009,4.59241,0.438405,4.389229,0.101971
2025-07-13,4.188189,4.41785,0.229661,4.29957,0.056638
2025-07-14,5.04505,5.503779,0.458723,5.23328,0.114468
2025-07-15,5.680359,5.885769,0.205403,5.788219,0.038548
2025-07-16,4.95241,5.308969,0.356555,5.135799,0.076924
2025-07-18,4.241779,4.395559,0.153785,4.32273,0.037791
2025-07-19,3.58573,3.891619,0.305898,3.78219,0.065804
2025-07-20,3.853339,4.08183,0.228486,3.954279,0.043083
2025-07-21,4.371409,4.51032,0.138917,4.431,0.029334
2025-07-22,4.206069,4.84949,0.643418,4.490769,0.145963
2025-07-23,5.012189,5.34311,0.330918,5.17734,0.087734
2025-07-25,6.0952,6.45752,0.36232,6.30657,0.076241
2025-07-26,6.028299,6.22512,0.19682,6.13526,0.036288
2025-07-28,5.66016,6.08849,0.428328,5.881199,0.106604
2025-07-29,5.59702,6.58392,0.986892,6.111159,0.228885
2025-07-30,5.782169,6.229579,0.447412,5.994589,0.100458
2025-07-31,5.705949,5.806439,0.100482,5.755229,0.02441
