date,mean
2025-10-28,1.26
2025-10-29,1.49
2025-10-30,1.63
2025-10-31,1.17
2025-11-01,1.28
2025-11-02,1.63
2025-11-03,1.54
2025-11-04,1.57
2025-11-05,2.06
2025-11-06,1.52
2025-11-07,1.52
2025-11-08,1.46
2025-11-09,1.25
2025-11-10,1.22
2025-11-11,1.55
2025-11-12,1.29
2025-11-13,1.29
2025-11-14,1.13
2025-11-15,1.2
2025-11-16,1.2
2025-11-17,1.05
2025-11-18,1.39
2025-11-19,1.36
2025-11-20,1.61
2025-11-21,1.9
2025-11-22,1.34
2025-11-23,0.95
2025-11-24,0.91
2025-11-25,1.6
2025-11-26,1.32
2025-11-27,1.3
2025-11-28,0.99
2025-11-29,0.98
2025-11-30,1.5
2025-12-01,1.15
2025-12-02,1.15
2025-12-03,1.12
2025-12-04,1.08
2025-12-05,0.78
2025-12-06,0.98
2025-12-07,0.91
2025-12-08,1.04
2025-12-09,0.72
2025-12-10,0.95
2025-12-11,0.8
2025-12-12,0.49
2025-12-13,1.23
2025-12-14,1.28
2025-12-15,0.68
2025-12-16,1.41
2025-12-17,1
2025-12-18,0.84
2025-12-19,1.18
2025-12-20,0.8
2025-12-21,0.85
2025-12-22,0.81
2025-12-23,0.79
2025-12-24,0.8
2025-12-25,0.75
2025-12-26,0.79
2025-12-27,0.96
2025-12-28,1.04
2025-12-29,0.75
2025-12-30,0.64
2025-12-31,0.77
2026-01-01,0.74
2026-01-02,1.05
2026-01-03,0.7
2026-01-04,1.22
2026-01-05,1.54
2026-01-06,1.51
2026-01-07,0.94
2026-01-08,0.66
2026-01-09,1.19
2026-01-10,0.8
2026-01-11,0.63
2026-01-12,1.06
2026-01-13,0.96
2026-01-14,0.84
2026-01-15,0.84
2026-01-16,0.67
2026-01-17,0.94
2026-01-18,0.96
2026-01-19,1.12
2026-01-20,0.87
2026-01-21,1.13
2026-01-22,1.04
2026-01-23,1.05
2026-01-24,1.15
2026-01-25,0.86
2026-01-26,0.96
2026-01-27,1.49
