date,mean
2025-10-28,1.45
2025-10-29,1.46
2025-10-30,1.56
2025-10-31,1.16
2025-11-01,1.06
2025-11-02,1.44
2025-11-03,1.59
2025-11-04,2.09
2025-11-05,1.95
2025-11-06,1.33
2025-11-07,1.33
2025-11-08,1.25
2025-11-09,1.24
2025-11-10,1.05
2025-11-11,1.86
2025-11-12,1.43
2025-11-13,1.43
2025-11-14,1.14
2025-11-15,1.1
2025-11-16,1.1
2025-11-17,0.93
2025-11-18,1.08
2025-11-19,0.99
2025-11-20,1.16
2025-11-21,1.17
2025-11-22,0.98
2025-11-23,0.86
2025-11-24,0.96
2025-11-25,1.2
2025-11-26,0.94
2025-11-27,0.91
2025-11-28,0.82
2025-11-29,0.87
