date,minimum,maximum,range,mean,std
2025-04-23,4.334609,4.46436,0.129751,4.39999,0.027793
2025-04-24,4.80625,4.954229,0.147973,4.875639,0.036896
2025-04-25,4.025969,4.630179,0.604218,4.3231,0.139604
2025-04-26,4.80245,4.93443,0.131979,4.855219,0.033148
2025-04-27,5.033989,5.11317,0.079177,5.06618,0.018329
2025-04-28,4.80478,5.089779,0.284992,4.946179,0.073273
2025-04-29,4.02814,4.131599,0.103454,4.092999,0.023876
2025-04-30,1.03346,1.38495,0.351491,1.196519,0.073092
2025-05-01,3.400069,3.60454,0.204467,3.521709,0.047297
2025-05-02,1.995249,2.20648,0.211236,2.06607,0.035185
2025-05-05,3.34869,3.737169,0.38848,3.553329,0.086153
2025-05-07,4.044909,4.095769,0.050861,4.07453,0.009342
2025-05-10,3.46353,3.56607,0.102536,3.49306,0.018393
2025-05-14,4.519539,4.641129,0.121592,4.554039,0.029971
2025-05-15,4.625639,5.01308,0.387445,4.831729,0.099101
2025-05-16,5.118959,5.277949,0.158987,5.2002,0.03002
2025-05-17,5.16752,5.264609,0.097092,5.192639,0.021344
2025-05-18,3.840029,4.483359,0.643324,4.10218,0.186422
2025-05-19,3.658679,3.80766,0.148981,3.71667,0.029947
2025-05-20,4.875659,5.23819,0.362524,5.037749,0.095396
2025-05-21,5.21606,5.369919,0.153867,5.281179,0.040615
2025-05-22,5.24088,5.48257,0.241698,5.33747,0.064659
2025-05-23,6.014719,6.461339,0.446619,6.18261,0.125011
2025-05-24,6.097939,6.250529,0.152593,6.153009,0.031465
2025-05-25,5.921299,6.14159,0.220289,6.038249,0.034595
2025-05-26,5.630479,5.93728,0.306793,5.753709,0.073278
2025-05-27,6.03174,6.510089,0.478349,6.223529,0.118776
2025-05-28,6.2227,6.42951,0.206806,6.31324,0.038196
2025-05-29,6.92463,7.208799,0.284177,7.00605,0.06836
2025-05-30,6.173319,6.376269,0.202951,6.26199,0.040962
2025-05-31,6.567299,6.72272,0.155415,6.6517,0.028786
2025-06-01,5.060019,5.4331,0.373082,5.207029,0.097772
2025-06-02,5.509709,5.946599,0.43689,5.701859,0.105497
2025-06-03,3.7999,4.512169,0.712267,4.153269,0.187209
2025-07-06,7.11342,7.427159,0.313739,7.24759,0.07084
2025-07-07,6.778399,7.525469,0.747067,7.066359,0.207537
2025-07-08,7.778779,8.19524,0.416462,7.994299,0.077927
2025-07-09,6.58504,7.0731,0.488061,6.779339,0.135389
2025-07-10,5.875259,6.41299,0.537725,6.129529,0.137263
2025-07-11,2.75901,3.23742,0.47841,3.001009,0.12951
2025-07-12,4.95726,5.53803,0.580767,5.191919,0.159945
2025-07-13,5.999949,6.14502,0.145069,6.0383,0.038386
2025-07-14,6.65134,6.9333,0.281953,6.760749,0.067862
2025-07-15,6.92033,7.262,0.341668,7.031889,0.088023
2025-07-16,7.461999,8.02285,0.560841,7.721129,0.1307
2025-07-18,6.12865,6.52756,0.39891,6.28909,0.111277
2025-07-19,6.006979,6.341839,0.334863,6.13559,0.095027
2025-07-20,5.205989,5.55724,0.351251,5.349949,0.100911
2025-07-21,6.2058,6.44676,0.240955,6.297289,0.066398
2025-07-22,6.66863,7.1289,0.460272,6.864389,0.114546
2025-07-23,6.03489,6.263339,0.228449,6.13636,0.042963
2025-07-25,7.7526,7.877789,0.125183,7.79179,0.028539
2025-07-26,7.300109,7.512889,0.212778,7.365439,0.051031
2025-07-28,7.148799,8.09702,0.948213,7.513579,0.264737
2025-07-29,8.42821,8.852789,0.424578,8.580349,0.106541
