date,minimum,maximum,range,mean,std
2025-04-23,3.795759,3.9479,0.152143,3.86806,0.038801
2025-04-24,4.212259,4.332769,0.120513,4.27845,0.027057
2025-04-25,2.34677,2.58276,0.235985,2.46051,0.065378
2025-04-26,4.060259,4.237239,0.176979,4.140339,0.046457
2025-04-27,4.76269,4.868289,0.105596,4.80272,0.023541
2025-04-28,4.81331,4.87184,0.058535,4.83852,0.014373
2025-04-29,4.15423,4.2409,0.08667,4.181809,0.015159
2025-04-30,1.12477,1.245949,0.121175,1.189079,0.024767
2025-05-01,3.44845,3.642679,0.194225,3.545449,0.043772
2025-05-02,2.36605,2.466609,0.100559,2.41509,0.022997
2025-05-05,2.60961,2.77107,0.161455,2.680399,0.037181
2025-05-07,3.98213,4.0622,0.080067,4.01767,0.019129
2025-05-10,2.88944,3.21005,0.320607,3.05798,0.070823
2025-05-14,3.42488,3.531759,0.106873,3.482019,0.026259
2025-05-15,3.956039,4.146669,0.190628,4.04565,0.048691
2025-05-16,4.77992,4.86766,0.087741,4.821489,0.017131
2025-05-17,4.522759,4.695869,0.173108,4.601379,0.038472
2025-05-18,2.72164,2.91598,0.194337,2.8111,0.043954
2025-05-19,2.920969,3.30098,0.380008,3.123559,0.085546
2025-05-20,4.096139,4.30103,0.204889,4.201779,0.05048
2025-05-21,4.31041,4.438139,0.127727,4.384389,0.033842
2025-05-22,4.216289,4.36459,0.148304,4.2971,0.041074
2025-05-23,5.10434,5.27404,0.169698,5.19045,0.04005
2025-05-24,5.1844,5.33163,0.147232,5.25633,0.037533
2025-05-25,4.619289,4.79897,0.179677,4.710579,0.040261
2025-05-26,4.255559,4.452179,0.196618,4.3477,0.04258
2025-05-27,4.980259,5.13465,0.154394,5.060939,0.034483
2025-05-28,5.186399,5.339729,0.153328,5.26691,0.03449
2025-05-29,5.703509,5.85368,0.150167,5.78669,0.033381
2025-05-30,4.98495,5.177519,0.192574,5.08616,0.042084
2025-05-31,5.162429,5.43802,0.275588,5.28794,0.065779
2025-06-01,3.58698,3.900579,0.313602,3.728369,0.076602
2025-06-02,4.292119,4.47334,0.18122,4.37364,0.040331
2025-06-03,3.07339,3.378089,0.304693,3.24984,0.071329
2025-07-06,5.834599,6.140389,0.305781,5.96675,0.071394
2025-07-07,5.90607,6.43413,0.528055,6.112959,0.114076
2025-07-08,7.39727,7.74313,0.34586,7.50176,0.071406
2025-07-09,5.74406,6.295159,0.551101,5.95262,0.116099
2025-07-10,4.63776,4.829919,0.192162,4.726009,0.04428
2025-07-11,2.45612,2.54795,0.091827,2.50042,0.021193
2025-07-12,3.591779,3.8498,0.258015,3.713109,0.059994
2025-07-13,4.92671,5.128689,0.201985,5.002759,0.041456
2025-07-14,5.3901,5.65322,0.263114,5.50122,0.060923
2025-07-15,6.110129,6.470129,0.359997,6.250329,0.07832
2025-07-16,6.12998,6.65806,0.528074,6.36419,0.126949
2025-07-18,4.855959,5.014629,0.158675,4.93273,0.036626
2025-07-19,4.807579,5.04115,0.233565,4.91264,0.052411
2025-07-20,4.39788,4.497419,0.099539,4.44242,0.024007
2025-07-21,5.28479,5.469989,0.185203,5.371459,0.045012
2025-07-22,5.37679,5.62376,0.24697,5.49228,0.061791
2025-07-23,4.96387,5.135129,0.171261,5.038469,0.039952
2025-07-25,7.22332,7.606719,0.383394,7.34525,0.082056
