date,minimum,maximum,range,mean,std
2025-04-23,3.154809,4.01936,0.864546,3.689729,0.158575
2025-04-24,3.89783,4.695909,0.798072,4.3453,0.140258
2025-04-25,1.96825,3.2307,1.262449,2.5515,0.376704
2025-04-26,3.837909,4.5911,0.753198,4.263919,0.131328
2025-04-27,4.627089,5.16541,0.538325,4.808859,0.134915
2025-04-28,4.518459,4.91891,0.400447,4.67566,0.091085
2025-04-29,3.76723,4.68203,0.914806,4.128779,0.217821
2025-04-30,0.93461,1.107239,0.172626,1.00495,0.043537
2025-05-01,3.023849,3.586639,0.562794,3.225689,0.127124
2025-05-02,1.898409,2.520329,0.621918,2.15082,0.150956
2025-05-05,2.25093,2.93208,0.681155,2.74581,0.145297
2025-05-07,3.495909,4.242869,0.74696,3.81585,0.148273
2025-05-10,2.177799,2.838979,0.661185,2.56742,0.116856
2025-05-14,2.880569,3.53814,0.657573,3.259069,0.117688
2025-05-15,3.245729,4.08192,0.836189,3.736569,0.146274
2025-05-16,4.2305,5.225689,0.995191,4.73425,0.181896
2025-05-17,3.902909,4.77263,0.869714,4.350679,0.153123
2025-05-18,2.44014,3.50532,1.065179,3.04618,0.2662
2025-05-19,2.190479,2.72931,0.538827,2.58117,0.11208
2025-05-20,3.311709,4.234029,0.922315,3.96444,0.187123
2025-05-21,3.463479,4.64713,1.18365,4.2786,0.236578
2025-05-22,3.55074,4.528629,0.97789,4.14856,0.175108
2025-05-23,4.778629,5.68901,0.910377,5.23776,0.164995
2025-05-24,4.54921,5.51698,0.967763,5.162189,0.178448
2025-05-25,3.95371,5.245269,1.29156,4.81321,0.273333
2025-05-26,3.676019,4.764299,1.088279,4.438429,0.224879
2025-05-27,4.43861,5.37642,0.93781,5.11813,0.200352
2025-05-28,4.88531,5.738629,0.853317,5.455679,0.182316
2025-05-29,5.423419,6.223179,0.799762,5.909309,0.143831
2025-05-30,4.4899,5.58475,1.094849,5.2732,0.229328
2025-05-31,4.853819,6.01658,1.16276,5.668839,0.242036
2025-06-01,3.607189,4.73106,1.12387,4.24794,0.260089
2025-06-02,3.77477,4.83083,1.056059,4.519289,0.227459
2025-06-03,2.34081,3.168479,0.82767,2.835649,0.178966
2025-07-06,6.35643,6.67321,0.316772,6.509669,0.093263
2025-07-07,6.77037,6.95238,0.182009,6.830589,0.039592
2025-07-08,7.21428,8.459659,1.24538,7.78,0.354469
2025-07-09,6.579219,6.907199,0.327977,6.717249,0.072206
2025-07-10,4.49097,5.77572,1.284749,5.107759,0.378497
2025-07-11,2.51444,2.973079,0.45864,2.68214,0.116934
2025-07-12,3.654799,4.75597,1.101169,4.175429,0.312521
2025-07-13,5.25086,5.39585,0.144997,5.29951,0.024742
2025-07-14,5.821269,6.08794,0.266669,5.930019,0.076409
2025-07-15,6.54426,6.972089,0.42783,6.71537,0.112501
2025-07-16,7.03142,7.50718,0.475769,7.224289,0.128618
2025-07-18,4.809899,5.577589,0.767695,5.201809,0.23163
2025-07-19,5.17854,5.312459,0.133919,5.24242,0.034787
2025-07-20,4.338009,4.587659,0.24965,4.42352,0.055837
2025-07-21,5.577869,5.83749,0.259622,5.69006,0.078574
2025-07-22,5.726389,6.19008,0.463685,5.934539,0.13391
2025-07-23,5.13491,5.78233,0.647418,5.4647,0.203299
2025-07-25,7.14587,8.324629,1.17876,7.73181,0.33175
2025-07-26,6.790619,7.460189,0.669569,7.064839,0.187566
2025-07-28,7.04075,7.221109,0.180357,7.15674,0.037674
2025-07-29,7.585979,9.36935,1.78337,8.386819,0.517515
